Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Restoration of rain damages on Challa to Swerakhad via Nizara Phaladhar Km 0/000 to 5/120 SH Widening of road curves narrow stretches and re-gradiong the road surface between RD 4/195 to 4/660 and Formation cutting 5/7 mtr wide road in Km4/675 to 5/,Restoration of rain damages on Challa to Swerakhad via Nizara Phaladhar Km 0/000 to 5/120 SH Widening of road curves narrow stretches and re-gradiong the road surface between RD 4/195 to 4/660 and Formation cutting 5/7 mtr wide road in Km4/675 to 5/,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,Executive Engineer,"Kumarsain Division, HP.PWD., Kumarsain",PWD,PW-KMS-AB-NIT/2020-21-12774-75 dated 11.02.2021,2021_PWD_44414_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),18-Feb-2021 05:00 PM,25-Feb-2021 11:00 AM,18-Feb-2021 05:30 PM,24-Feb-2021 06:00 PM,NA ,NA ,18-Feb-2021 05:30 PM,24-Feb-2021 06:00 PM,25-Feb-2021 12:35 PM,"30,000",No,fixed,,EE Kumarsain,Kumarsain,500.0,EE Kumarsain,Kumarsain,No,AOC,1.0,200057.0,MAHESH THAKUR,23-Feb-2021 05:01 PM,Accepted-AOC,AOC,21-May-2021 02:15 PM,Technical,Bid Opening Summary,Manoj Kumar Sehgal,25-Feb-2021 12:24 PM,technical_66575.pdf,Finance,Summary of Technical Bid Evaluation,Manoj Kumar Sehgal,25-Feb-2021 01:28 PM,finance_66575.pdf,BOQ Comparative Chart,1.0,200057.0,MAHESH THAKUR,INR,"2,169,246",PWD,2021_PWD_44414_1,PW-KMS-AB-NIT/2020-21-12774-75 dated 11.02.2021,Restoration of rain damages on Challa to Swerakhad via Nizara Phaladhar Km 0/000 to 5/120 SH Widening of road curves narrow stretches and re-gradiong the road surface between RD 4/195 to 4/660 and Formation cutting 5/7 mtr wide road in Km4/675 to 5/,Er.Manoj Sehgal,Internal,"XEN,Supdt.,HDM",Manoj Kumar Sehgal,25-Feb-2021 12:30 PM,25-Feb-2021 12:35 PM,techsummary_66575.pdf (296.79 KB),Er. Manoj Sehgal,Internal,"xen,supdt., hdm",Manoj Kumar Sehgal,21-May-2021 02:13 PM,finsummary_66575.pdf (296.79 KB),21-May-2021,"INR 2,169,246",90.0,Manoj Kumar Sehgal,21-May-2021 02:15 PM,Challa.pdf (550.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,AOC,2.0,200000.0,RAKESH KHACHI,23-Feb-2021 03:09 PM,Rejected-Finance,REJECT DUE TO 2ND LOWESR BIDDER,21-May-2021 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
