Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"5,000",EE Bhabanagar,Sungra/Bhabanagar,No,Executive Engineer,karchham Division HP.PWD Bhabanagar,C.O 48.76 mtrs. Span Bailey Bridge over Yulla Nallah on Old Hindustan Tibet road at km 15.095 SH. C.O sub structure both side approaches and super structure,C.O 48.76 mtrs. Span Bailey Bridge over Yulla Nallah on Old Hindustan Tibet road at km 15.095 SH.C.O sub structure both side approaches and super structure,Please refer Tender documents. ,NA ,"2,01,26,923",Civil Works - Bridges,NA ,Tender,120.0,360.0,YullA,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,DD - Demand Draft,PWD,BHNR -EA-Tender/2020-21- 1432-37 dated 22.07.2020,2020_PWD_39623_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,10-Aug-2020 10:00 AM,24-Aug-2020 11:00 AM,10-Aug-2020 10:30 AM,22-Aug-2020 06:00 PM,NA ,NA ,10-Aug-2020 10:30 AM,22-Aug-2020 06:00 PM,27-Aug-2020 09:00 AM,"2,34,000",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,AOC,PWD,2020_PWD_39623_1,BHNR -EA-Tender/2020-21- 1432-37 dated 22.07.2020,C.O 48.76 mtrs. Span Bailey Bridge over Yulla Nallah on Old Hindustan Tibet road at km 15.095 SH. C.O sub structure both side approaches and super structure,XEN Er. Rahul Sood,Internal,HDM DAO Supdt PMGSY Supdt works,Rakesh Chander Negi,26-Aug-2020 07:23 AM,27-Aug-2020 09:00 AM,techsummary_58506.pdf (849.32 KB),XEN Er. Rahul Sood,Internal,HDM DAO Sudt PMGSY Supdt,Rahul Sood,27-Aug-2020 09:28 AM,finsummary_58506.pdf (1039.60 KB),06-May-2021,"INR 20,126,923",360.0,Rahul Sood,06-May-2021 04:50 PM,471-78.pdf (319.00 KB),Finance,opening summary,Rahul Sood,27-Aug-2020 09:25 AM,finance_58506.pdf,BOQ Comparative Chart,1.0,174003.0,Dharam Singh Thakur,INR,"29,924,018",1.0,174003.0,Dharam Singh Thakur,22-Aug-2020 04:34 PM,Accepted-AOC,awarded,06-May-2021 04:50 PM,Technical,Bid opening summary,Rakesh Chander Negi,26-Aug-2020 07:18 AM,technical_58506.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
