Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Silchar Medical College and Hospital-HFWD,SMCH/7278,2020_HFWD_18278_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Corrigendum for Exemption,Fee,,"3,000",GM H and FWD,H and FWD,No,1.0,SBI Bank,"3,00,000",Yes,fixed,,GM H and FWD,H and FWD,"SUPERINTENDENT ,SMCH",SILCHAR MEDICAL COLLEGE AND HOSPITAL,10-Aug-2020 11:00 AM,10-Sep-2020 02:00 PM,10-Aug-2020 12:00 PM,08-Sep-2020 02:00 PM,NA ,NA ,01-Sep-2020 11:00 AM,08-Sep-2020 02:00 PM,09-Dec-2020 12:00 PM,APPOINTMENT OF SECURITY SERVICE AGENCY AT SILCHAR MEDICAL COLLEGE AND HOSPITAL,APPOINTMENT OF SECURITY SERVICE AGENCY AT SILCHAR MEDICAL COLLEGE AND HOSPITAL,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,365.0,SILCHAR MEDICAL COLLEGE AND HOSPITAL,788014.0,NA ,NA ,NA ,"SUPERINTENDENT OFFICE ,SMCH",No ,No,AOC,Dr.B. Gupta,Internal,"Dr.G. Das, Dr.B. Sandalya, Dr.P.Ray. Choudhury",GUNAJIT DAS,31-Dec-2020 03:17 PM,finsummary_28250.pdf (780.36 KB),Dr. B. Gupta,Internal,"Dr. G. Das, Dr. B. Sandalya, Dr. P. Ray. Choudhury",Pradipta Ray Choudhury,07-Dec-2020 05:00 PM,09-Dec-2020 12:00 PM,techsummary_28250.pdf (1086.99 KB),01-Feb-2021,INR 30731.33,365.0,GUNAJIT DAS,03-May-2021 02:26 PM,SAOC.pdf (108.00 KB),award of contract,Technical,Technical Bid has opened,Pradipta Ray Choudhury,07-Dec-2020 04:41 PM,,1.0,87812.0,North Eastern Security Service (NESS) Pvt. Ltd.,INR,30731.33,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Silchar Medical College and Hospital-HFWD,2020_HFWD_18278_1,SMCH/7278,APPOINTMENT OF SECURITY SERVICE AGENCY AT SILCHAR MEDICAL COLLEGE AND HOSPITAL,Finance,Financial Bid has opened,GUNAJIT DAS,09-Dec-2020 01:00 PM,,BOQ Comparative Chart,1,87823,ASSAM VALLEY SECURITY AGENCY,08-Sep-2020 11:44 AM,Rejected-Technical,not submitted income tax return for three assessment year,07-Dec-2020 05:00 PM,AOC
,,.pdf,TECHNICAL QUALIFICATION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87814,Bodoland Security Services,08-Sep-2020 08:43 AM,Rejected-Finance,high rate,31-Dec-2020 03:17 PM,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87757,COLONEL SHISHUPAL SECURITY CONSULTANCY AND SERVICES PVT LTD,08-Sep-2020 01:20 PM,Rejected-Finance,high rate,31-Dec-2020 03:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87787,Dolphin Security and Advertising,08-Sep-2020 11:17 AM,Rejected-Finance,high rate,31-Dec-2020 03:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,87862,DYNAMIC SECURITY SYSTEM,08-Sep-2020 01:48 PM,Rejected-Technical,"lack of requisite experience, EPF registered for engineer contractors not security service",07-Dec-2020 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,87826,Group5,08-Sep-2020 01:59 PM,Rejected-Finance,highest rate,31-Dec-2020 03:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87839,HRD Commercial & Industrial Security Force Pvt Ltd,08-Sep-2020 11:21 AM,Rejected-Finance,rejected due to production of false document,31-Dec-2020 03:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,87838,JUPITER INFRACON ASSOCIATES ENTERPRISE,08-Sep-2020 12:35 PM,Rejected-Technical,"lack of requisite experience, labour license for house keeping not security service",07-Dec-2020 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,87812,North Eastern Security Service (NESS) Pvt. Ltd.,07-Sep-2020 04:03 PM,Accepted-AOC,lowest rate,03-May-2021 02:26 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,87782,ROBOKOPS PVT.LTD,05-Sep-2020 09:21 PM,Rejected-Technical,requisite document not found to be uploaded,07-Dec-2020 05:00 PM,AOC
