Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,06-Nov-2023 12:38 PM,finsummary_119680.pdf (250.93 KB),09-Nov-2024,"INR 2,269,274",90.0,Suresh Kumar Walia,01-Jan-2024 10:20 AM,Award.pdf (272.00 KB),Award,PWD,2023_PWD_80009_2,Nagrota 10-10-2023,Additional Alteration of T.B. Sanatorium OPD in Dr R.P.G. Medical College at Tanda in Distt Kangra (HP)(SH-Construction of civil work of Lift (Deposit work).,Executive Engineer,Internal,AE Supdt HDM Dao,Suresh Kumar Walia,03-Nov-2023 11:36 AM,06-Nov-2023 11:00 AM,techsummary_119680.pdf (715.41 KB),Technical,sum,Suresh Kumar Walia,03-Nov-2023 11:25 AM,technical_119680.pdf,1.0,380337.0,Ankit Thakur Contractor,24-Oct-2023 11:48 PM,Rejected-Technical,Document not received as per requirement,03-Nov-2023,Finance,sum,Suresh Kumar Walia,06-Nov-2023 12:35 PM,finance_119680.pdf,BOQ Comparative Chart,1.0,380242.0,Puneet Khosla,INR,"1,962,470",500.0,Nil,Nil,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,"47,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Additional Alteration of T.B. Sanatorium OPD in Dr R.P.G. Medical College at Tanda in Distt Kangra (HP)(SH-Construction of civil work of Lift (Deposit work).,Additional Alteration of T.B. Sanatorium OPD in Dr R.P.G. Medical College at Tanda in Distt Kangra (HP)(SH-Construction of civil work of Lift (Deposit work).,Please refer Tender documents. ,NA ,"23,69,274",Chemicals/Minerals,NA ,Tender,75.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,18-Oct-2023 12:00 PM,25-Oct-2023 11:00 AM,18-Oct-2023 12:00 PM,25-Oct-2023 10:00 AM,NA ,NA ,18-Oct-2023 12:00 PM,25-Oct-2023 10:00 AM,06-Nov-2023 11:00 AM,PWD,Nagrota 10-10-2023,2023_PWD_80009_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,380469.0,Banni Mata Construction Pvt Ltd,25-Oct-2023 09:27 AM,Rejected-Finance,Lowest 6,06-Nov-2023,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,379544.0,Naveen Kumar,23-Oct-2023 01:00 PM,Rejected-Finance,Lowest 3,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,380242.0,Puneet Khosla,24-Oct-2023 06:08 AM,Accepted-AOC,Award,01-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,380264.0,RAHUL SHARMA,24-Oct-2023 06:26 AM,Rejected-Finance,Lowest 4,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,379756.0,Rajesh Kumar,23-Oct-2023 02:01 PM,Rejected-Finance,Lowest 2,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,380184.0,Shadil Thakur,23-Oct-2023 03:50 PM,Rejected-Finance,Lowest 5,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
