Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
29-Jul-2019,"INR 744,279",90.0,Subhash Chander,29-Jul-2019 02:29 PM,Award.pdf (146.00 KB),Award,Er. Sanjiv Mahajan,Internal,Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,29-Jul-2019 02:25 PM,finsummary_39117.pdf (48.13 KB),Er. Sanjiv Mahajan,Internal,Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,10-Jun-2019 11:52 AM,10-Jun-2019 12:00 PM,techsummary_39117.pdf (136.36 KB),PWD,2019_PWD_27464_2,25034-83 dated 01-02-2019,Restoration of rain damage on link road to Village Lahari,Technical,Opened,Subhash Chander,10-Jun-2019 11:48 AM,technical_39117.pdf,1.0,116990.0,IQWALSINGHGOVTCONTRACTOR,04-Mar-2019 02:15 PM,Accepted-AOC,Award,29-Jul-2019 02:29 PM,1.0,116990.0,IQWALSINGHGOVTCONTRACTOR,INR,"855,431",Finance,Opened,Subhash Chander,29-Jul-2019 02:23 PM,finance_39117.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,PWD,25034-83 dated 01-02-2019,2019_PWD_27464_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,350.0,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,Restoration of rain damage on link road to Village Lahari,(SH- C/O R/Wall and wire crate protection at RD 3/395 to 3/425),Please refer Tender documents. ,NA ,"7,44,279",Civil Works - Roads,NA ,Tender,120.0,90.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,18-Feb-2019 10:00 AM,05-Mar-2019 11:30 AM,18-Feb-2019 10:00 AM,05-Mar-2019 11:00 AM,NA ,NA ,18-Feb-2019 10:00 AM,05-Mar-2019 11:00 AM,10-Jun-2019 12:00 PM,"14,900",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117069.0,Naino Devi,04-Mar-2019 07:54 PM,Rejected-Finance,Rate quoted higher side of L1,29-Jul-2019 02:25 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,117066.0,Rohin Sharma Govt Cont,04-Mar-2019 07:23 PM,Rejected-Finance,Rate quoted higher side of L1,29-Jul-2019 02:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,117040.0,SANJEEV PATHANIA,05-Mar-2019 10:33 AM,Rejected-Technical,Non-Responsive,10-Jun-2019 11:52 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule-19) and (28.2b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No-6.19)(Refer Clause-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
