Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,CVS/P-5/2019-20/20 Dated.24th May/2019,2019_AHVD_12821_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Extension of Date,Date,,"Director,AH and Veterinary","Director,AH and Veterinary, Chenikuthi, Guwahati-03",1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,DD - Demand Draft,25-May-2019 11:00 AM,24-Jun-2019 03:15 PM,27-May-2019 11:00 AM,24-Jun-2019 03:00 PM,NA ,NA ,03-Jun-2019 03:00 PM,24-Jun-2019 03:00 PM,05-Jul-2019 04:10 PM,0.0,No,fixed,,Nil,Nil,"1,000","Director, A.H. and Veterinary Department, Assam",Guwahati,No,"ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES FOR YEAR 2019-20","ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES FOR YEAR 2019-20 UNDER A.H and VETERINARY DEPTT. ASSAM",Please refer to Bidding Document ,NA ,0.0,Medicines,NA ,Tender,180.0,365.0,"Chenikuthi, Guwahati",781003.0,"Director,AH and Veterinary Deptt. ","Director,AH and Veterinary Deptt., Chenikuthi, Guwahati-03 ",31-May-2019 12:00 PM ,"Director,AH and Veterinary, Chenikuthi,Guwahati-03",No ,No,AOC,"Director, AH and Veterinary, Assam",Internal,,Pratul Mahanta,12-Jul-2019 11:48 AM,finsummary_20146.pdf (4397.61 KB),1.0,60317.0,Woonmilon,INR,900000.0,17-Jul-2019,INR 2.38E+7,50.0,ANUJ DUTTA,19-Jul-2019 10:58 AM,AOC.pdf (6143.00 KB),Technical,Technical Bid Opening,Pratul Mahanta,05-Jul-2019 04:01 PM,,"Director, AH and Veterinary, Assam",Internal,,Pratul Mahanta,05-Jul-2019 04:08 PM,05-Jul-2019 04:10 PM,techsummary_20146.pdf (696.81 KB),1,60588,Assam Manufacturer Repacking and Distributor,23-Jun-2019 03:33 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,Finance,Financial Bid Opening,Pratul Mahanta,12-Jul-2019 11:42 AM,,BOQ Comparative Chart,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,2019_AHVD_12821_1,CVS/P-5/2019-20/20 Dated.24th May/2019,"ENTERING INTO RATE CONTRACT FOR SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES FOR YEAR 2019-20",AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Documents,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,60390.0,Ayurvet Limited,INR,800000.0,,,,,,,,,,,,,,,,,,,2,60390,Ayurvet Limited,22-Jun-2019 06:09 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document with seal and sign in each page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,60522.0,THE HIMALAYA DRUG COMPANY,INR,800000.0,,,,,,,,,,,,,,,,,,,3,60173,BRILLIANT BIO PHARMA PRIVATE LIMITED,21-Jun-2019 12:51 PM,Rejected-Technical,Technically Rejected,05-Jul-2019 04:08 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,60555.0,Indian Herbs Specialities Pvt.Ltd.,INR,2700000.0,,,,,,,,,,,,,,,,,,,4,60555,Indian Herbs Specialities Pvt.Ltd.,20-Jun-2019 11:16 AM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,60588.0,Assam Manufacturer Repacking and Distributor,INR,5700000.0,,,,,,,,,,,,,,,,,,,5,60742,INDO CONS AGE SERVICES,24-Jun-2019 12:31 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,60620.0,INDOMA MARINE PVT. LTD.,INR,4100000.0,,,,,,,,,,,,,,,,,,,6,60620,INDOMA MARINE PVT. LTD.,24-Jun-2019 11:56 AM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,60621.0,INDO MARKETING SERVICES,INR,1900000.0,,,,,,,,,,,,,,,,,,,7,60621,INDO MARKETING SERVICES,24-Jun-2019 02:11 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8.0,60677.0,M/S KAY AND KAY TRADING CO.,INR,3900000.0,,,,,,,,,,,,,,,,,,,8,60739,MAINDEOR ENTERPRISE,24-Jun-2019 02:07 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9.0,60685.0,M/S RASHMITA DRUGS AND SURGICALS,INR,1200000.0,,,,,,,,,,,,,,,,,,,9,60734,M/S A.D Enterprise,23-Jun-2019 10:15 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10.0,60725.0,P.D. Associates,INR,900000.0,,,,,,,,,,,,,,,,,,,10,60677,M/S KAY AND KAY TRADING CO.,21-Jun-2019 02:30 PM,Accepted-AOC,Awarded,19-Jul-2019 10:58 AM,,,,,,,,,,,AOC
