Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Providing Command Area Development of LIS Palion in Tehsil Nahan Distt. Sirmour,Supply and errection of centrifugal Pumping Machinery 60 HP,Please refer Tender documents. ,NA ,"2,70,000",Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,1.0,Corrigendum,Fee,,1.0,ICICI BANK,"5,400",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,250.0,Executive Engineer IPH Division Nahan,Nahan,No,17-Dec-2018 09:00 AM,24-Dec-2018 11:30 AM,17-Dec-2018 09:00 AM,24-Dec-2018 11:00 AM,NA ,NA ,17-Dec-2018 09:00 AM,24-Dec-2018 11:00 AM,01-Jan-2019 10:30 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/ 18-19-11756-11816 Dt 7-12-18,2018_HPIPH_25387_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,AOC,Er Mandeep Gupta EE,Internal,Supdt Gr II HDM DAO DA,Mandeep Gupta,31-Dec-2018 06:48 PM,01-Jan-2019 10:30 AM,techsummary_35579.pdf (228.77 KB),1.0,104930.0,Himalaya Enterprises,22-Dec-2018 10:42 PM,Rejected-Finance,Rejected,24-Jul-2019 10:58 AM,24-Jul-2019,"INR 270,000",90.0,Mandeep Gupta,24-Jul-2019 11:04 AM,AOC.pdf (1674.00 KB),AOC,Finance,Financial Bid Opening Summary,Mandeep Gupta,01-Jan-2019 01:16 PM,finance_35579.pdf,BOQ Comparative Chart,Technical,Technical Bid Summary,Mandeep Gupta,31-Dec-2018 05:58 PM,technical_35579.pdf,Dr. Mandeep Gupta EE,Internal,Supdt HDM DAO TA,Mandeep Gupta,24-Jul-2019 10:58 AM,finsummary_35579.pdf (1674.49 KB),1.0,104810.0,shiv iron general engineers,INR,"222,000","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2018_HPIPH_25387_1,IPH-DN-CB-TA-Tender/ 18-19-11756-11816 Dt 7-12-18,Providing Command Area Development of LIS Palion in Tehsil Nahan Distt. Sirmour,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form,AOC,,,,,,,,2.0,105116.0,M/S Monti Enterprises,24-Dec-2018 10:16 AM,Rejected-Finance,Rejected,24-Jul-2019 10:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valis Registration In HPIPH Department,AOC,,,,,,,,3.0,104810.0,shiv iron general engineers,24-Dec-2018 09:13 AM,Accepted-AOC,AOC,24-Jul-2019 11:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertakng Joint Venture is not allowed,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. and GST No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership and Sub-dealership of offer pumping machnery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of selection of pumps and motor and Curve chart,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all temrs and conditions,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
