S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,119496.0,M/s Jamwal nxt gen energy solutions,22-Mar-2019 11:20 AM,Rejected-AOC,bidder was L2,01-Jul-2019 04:41 PM,1.0,119429.0,Sourab Kuthiala,INR,"734,410",10-Jun-2019,"INR 691,364",60.0,Sanjeev Thakur,01-Jul-2019 04:41 PM,1396-1401.pdf (282.00 KB),"AWARDED TO THE LOWEST BIDDER VIDE THIS OFFICE LETTER NO.1396-1401, DATED 10.06.2019",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,26-Apr-2019 05:54 PM,finsummary_40408.pdf (59.89 KB),Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 05:37 PM,techsummary_40408.pdf (126.87 KB),PWD,2019_PWD_28236_2,"Elect. Division, HPPWD Palampur",Rewiring and providing safety devices and replacement of old FTL fixtures with new LED fitting and fixture in HPPWD Rest House at Kangra in Distt. Kangra (HP),Finance,as per uploaded document,Sanjeev Thakur,26-Apr-2019 05:33 PM,finance_40408.pdf,BOQ Comparative Chart,AOC,"13,900",No,fixed,,Executive Engineer,Elect. Div. HPPWD Palampur,1.0,DD - Demand Draft,PWD,"Elect. Division, HPPWD Palampur",2019_PWD_28236_2,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bid document,07-Mar-2019 10:00 AM,23-Mar-2019 11:30 AM,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,NA ,NA ,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,Rewiring and providing safety devices and replacement of old FTL fixtures with new LED fitting and fixture in HPPWD Rest House at Kangra in Distt. Kangra (HP),Rewiring and providing safety devices and replacement of old FTL fixtures with new LED fitting and fixture in HPPWD Rest House at Kangra in Distt. Kangra (HP),Please refer Tender documents. ,NA ,"6,91,364",Electrical Works,NA ,Tender,120.0,60.0,Kangra in Tehsil and Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,350.0,Executive Engineer,Elect. Div. HPPWD Palampur,Yes,Executive Engineer,Electrical Division HPPWD Palampur,AOC
2.0,119429.0,Sourab Kuthiala,21-Mar-2019 08:48 PM,Accepted-AOC,bidder was lowest (L1),01-Jul-2019 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in HPPWD(E) in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest income tax return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8) on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
