Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"27,850",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,"Improvement of black spots on link road from Nagrota Baldhar Dhaloon road Km 0/000 to 9/075 in Distt. Kangra (H.P.) (SH Construction of retaining walls, breast walls, edge walls and W Metal Beam Crash Barrier at various RDs)","Improvement of black spots on link road from Nagrota Baldhar Dhaloon road Km 0/000 to 9/075 in Distt. Kangra (H.P.) (SH Construction of retaining walls, breast walls, edge walls and W Metal Beam Crash Barrier at various RDs)",Please refer Tender documents. ,NA ,"13,92,073",Civil Works - Roads,NA ,Tender,120.0,120.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,DD - Demand Draft,PWD,PWD Civil Work -12024-44-Tanda,2019_PWD_28034_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Mar-2019 05:00 PM,22-Mar-2019 11:00 AM,06-Mar-2019 05:00 PM,21-Mar-2019 05:00 PM,NA ,NA ,06-Mar-2019 05:00 PM,21-Mar-2019 05:00 PM,05-Apr-2019 03:30 PM,500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,AOC,Finance,Sum,Suresh Kumar Walia,18-Apr-2019 01:32 PM,finance_40074.pdf,BOQ Comparative Chart,1.0,119192.0,Puneet Khosla,INR,"1,920,083",1.0,119442.0,AMIT KUMAR SHARMA,21-Mar-2019 02:38 PM,Rejected-AOC,L4,01-Jul-2019 11:03 AM,Technical,Sum,Suresh Kumar Walia,05-Apr-2019 03:12 PM,technical_40074.pdf,Dr Suresh Kumar Walia,Internal,N Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,05-Apr-2019 03:14 PM,05-Apr-2019 03:30 PM,techsummary_40074.pdf (570.58 KB),PWD,2019_PWD_28034_1,PWD Civil Work -12024-44-Tanda,"Improvement of black spots on link road from Nagrota Baldhar Dhaloon road Km 0/000 to 9/075 in Distt. Kangra (H.P.) (SH Construction of retaining walls, breast walls, edge walls and W Metal Beam Crash Barrier at various RDs)",29-Jun-2019,"INR 1,920,083",120.0,Suresh Kumar Walia,01-Jul-2019 11:03 AM,Award.pdf.pdf.pdf (769.00 KB),Award,Dr Suresh Kumar Walia,Internal,JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,18-Apr-2019 01:37 PM,finsummary_40074.pdf (196.15 KB),AOC
,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,118744.0,Megh Chand Rana,16-Mar-2019 12:49 PM,Rejected-AOC,l2,01-Jul-2019 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,119192.0,Puneet Khosla,20-Mar-2019 08:51 AM,Accepted-AOC,L1,01-Jul-2019 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,119067.0,Sunny,19-Mar-2019 02:53 PM,Rejected-AOC,l3,01-Jul-2019 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit regarding near relative and no retired gazetted officer of PWD is in employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
