EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"35,500",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,500.0,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,1.0,DD - Demand Draft,"Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2019-2020 Rural Road Zamanabad to Mehalu (HP0406VR049) km. 0/0 to 0/360, Kangra to Join JHD Near Baner Khad Via Old Kangra (HP0406VR103) km. 1/0 to 1/410)",(SH- P/L 25mm thick bituminous concrete),Please refer Tender documents. ,NA ,"18,66,015",Civil Works - Roads,NA ,Tender,120.0,30.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,PWD,26401-50 dated 05-02-2019,2019_PWD_27172_28,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",14-Feb-2019 10:00 AM,28-Feb-2019 11:30 AM,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,NA ,NA ,14-Feb-2019 10:00 AM,28-Feb-2019 11:00 AM,13-May-2019 02:30 PM,AOC,Finance,Opened,Sanjiv Mahajan,10-Jul-2019 12:37 PM,finance_38684.pdf,BOQ Comparative Chart,1.0,116022.0,Navneet Thakur,27-Feb-2019 12:15 PM,Accepted-AOC,Award,10-Jul-2019 12:41 PM,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Subhash Chander,13-May-2019 02:16 PM,13-May-2019 02:30 PM,techsummary_38684.pdf (132.06 KB),Technical,Opened,Subhash Chander,13-May-2019 12:16 PM,technical_38684.pdf,1.0,116022.0,Navneet Thakur,INR,"2,451,749",10-Jul-2019,"INR 1,866,015",30.0,Sanjiv Mahajan,10-Jul-2019 12:41 PM,Award.pdf (183.00 KB),Award,PWD,2019_PWD_27172_28,26401-50 dated 05-02-2019,"Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2019-2020 Rural Road Zamanabad to Mehalu (HP0406VR049) km. 0/0 to 0/360, Kangra to Join JHD Near Baner Khad Via Old Kangra (HP0406VR103) km. 1/0 to 1/410)",Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Sanjiv Mahajan,10-Jul-2019 12:39 PM,finsummary_38684.pdf (47.22 KB),AOC
,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,115776.0,VIRENDER PRASHAD SHARMA,26-Feb-2019 06:20 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jul-2019 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No. 6.19)Refer clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST Number (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,EPF Number shown in General Rule and Direction 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand within circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,HPPWD Form No-8 Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Ownership of HMP (No affidavit/undertaking will be entertained),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Ownership of hydrostatic paver finisher with sensor control(No Aff./undertaking will be entertained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
