Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
RL Chauhan XEN,Internal,HDM DA Supdt Gr-II,ROSHAN LAL CHAUHAN,04-Apr-2019 03:28 PM,finsummary_36080.pdf (811.08 KB),04-Jul-2019,"INR 16,531,726",540.0,Pramod Kumar,04-Jul-2019 05:04 PM,1937-44.PDF (1040.00 KB),PWD,2019_PWD_25735_1,7085-87 dated 23.12.2018,Construction of link road from Nichar to Wangtoo Old HT road km 0.0 to 4.240 SH F.C 5.7 mtr. Wide road including R.wall B.wall cross drainage works unlined surface drain and C.O parapets at km 0.0 to 4.240 Under NABARD RIDF XXIV,RL Chauhan XEN,Internal,Superintendent Gr II HDM DA,ROSHAN LAL CHAUHAN,06-Feb-2019 09:28 AM,06-Feb-2019 09:40 AM,techsummary_36080.pdf (740.37 KB),1.0,108292.0,Ashok Negi,INR,"22,103,410",Finance,summary,ROSHAN LAL CHAUHAN,04-Apr-2019 03:19 PM,finance_36080.pdf,BOQ Comparative Chart,Technical,opening summary,ROSHAN LAL CHAUHAN,05-Feb-2019 03:46 PM,technical_36080.pdf,1.0,108292.0,Ashok Negi,19-Jan-2019 01:42 PM,Accepted-AOC,awarded,04-Jul-2019 05:04 PM,AOC,PWD,7085-87 dated 23.12.2018,2019_PWD_25735_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,09-Jan-2019 10:00 AM,21-Jan-2019 11:00 AM,09-Jan-2019 10:30 AM,19-Jan-2019 05:00 PM,NA ,NA ,09-Jan-2019 10:30 AM,19-Jan-2019 05:00 PM,06-Feb-2019 09:40 AM,1.0,DD - Demand Draft,"5,000",EE Bhabangar,Bhabanagar/Sungra,Yes,1.0,per running meter instead of per cum meter for item no 4,Financial Bid,,"1,97,820",Yes,fixed,,EE Bhabanagar,Bhabanagar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executive Engineer,Karchham Division HPPWD Bhabanagar,Construction of link road from Nichar to Wangtoo Old HT road km 0.0 to 4.240 SH F.C 5.7 mtr. Wide road including R.wall B.wall cross drainage works unlined surface drain and C.O parapets at km 0.0 to 4.240 Under NABARD RIDF XXIV,Construction of link road from Nichar to Wangtoo Old HT road km 0.0 to 4.240 SH F.C 5.7 mtr. Wide road including R.wall B.wall cross drainage works unlined surface drain and C.O parapets at km 0.0 to 4.240 Under NABARD RIDF XXIV,Please refer Tender documents. ,NA ,"1,65,31,726",Civil Works,NA ,Tender,90.0,540.0,Nichar,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,108198.0,KARMA LAMA CONTRCATOR,18-Jan-2019 04:34 PM,Rejected-AOC,L4,04-Jul-2019 05:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,108397.0,Krishna High Base Pvt. Ltd,19-Jan-2019 04:57 PM,Rejected-AOC,L3,04-Jul-2019 05:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,108251.0,rajender,19-Jan-2019 11:08 AM,Rejected-AOC,L2,04-Jul-2019 05:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,108143.0,Surender Negi,19-Jan-2019 12:01 PM,Rejected-AOC,L5,04-Jul-2019 05:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,108399.0,SURESH SHARMA GOVT CONTRACTOR,19-Jan-2019 04:40 PM,Rejected-Technical,Non Responsive,06-Feb-2019 09:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,AOC
