S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,121424.0,Analyser Instrument Co. Pvt. Ltd.,11-Jun-2019 10:53 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Jun-2019 01:20 PM,Er. Madeep Gupta,Internal,HDM DAO Supdt EE,Mandeep Gupta,28-Jun-2019 01:26 PM,28-Jun-2019 01:30 PM,techsummary_41929.pdf (103.52 KB),24-Jul-2019,"INR 2,537,500",90.0,Mandeep Gupta,24-Jul-2019 11:13 AM,AOC.pdf (1251.00 KB),AOC,Technical,Technical Bid Opening Summary,Mandeep Gupta,28-Jun-2019 01:20 PM,technical_41929.pdf,Finance,Financial Bid OPening Summary,Mandeep Gupta,28-Jun-2019 01:41 PM,finance_41929.pdf,BOQ Comparative Chart,1.0,121387.0,SWAN ENVIRONMENTAL PVT LTD,INR,"3,269,994","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_28926_1,IPH-DN-CB-TA-Tender/2019-20- 1484-1524 dt 28-05-19,Providing installation and maintaining a Real Time Water Quality Monitoring Station at Markandey River under IPH Division Nahan as per directions from Honorable NGT,Er. JS Chouhan SE,Internal,SE EE EED AED CHD WA Supdt,Mandeep Gupta,24-Jul-2019 11:10 AM,finsummary_41929.pdf (1251.40 KB),AOC,1.0,ICICI BANK,Providing installation and maintaining a Real Time Water Quality Monitoring Station at Markandey River under IPH Division Nahan as per directions from Honorable NGT,Nil,Please refer Tender documents. ,NA ,"25,37,500",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,29-May-2019 05:00 PM,11-Jun-2019 11:30 AM,29-May-2019 05:00 PM,11-Jun-2019 11:00 AM,NA ,NA ,29-May-2019 05:00 PM,11-Jun-2019 11:00 AM,28-Jun-2019 01:30 PM,400.0,Executive Engineer IPH Division Nahan,Nahan,No,"51,000",No,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,"Earnest Money in Shape of valid FDR, CDR etc.",Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2019-20- 1484-1524 dt 28-05-19,2019_HPIPH_28926_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
2.0,121258.0,s AND a Marketingassociates,10-Jun-2019 01:18 PM,Rejected-Finance,Rejected,24-Jul-2019 11:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,AOC
3.0,121387.0,SWAN ENVIRONMENTAL PVT LTD,10-Jun-2019 02:28 PM,Accepted-AOC,AOC,24-Jul-2019 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of EPF,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking Joint VEnture is not allowed,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST Registration",,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,AOC
