Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Jagdeep Singh, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,27-Jun-2019 11:13 AM,finsummary_42444.pdf (635.26 KB),01-Jul-2019,"INR 1,351,717",30.0,Bhupinder Singh,09-Jul-2019 12:21 PM,Awardletter.PDF (1940.00 KB),Awardletter,PWD,2019_PWD_29306_2,Job 3 Periodical maintenance of link road Ajouli S,Job 3 Periodical maintenance of link road Ajouli Sanoli upto Punjab boundary Sub Head Providing and laying 25mm thick bituminous concrete in km. 3-0 to 4-0 and Periodical maintenance of link ro,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,25-Jun-2019 12:42 PM,25-Jun-2019 02:00 PM,techsummary_42444.pdf (807.41 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,25-Jun-2019 12:25 PM,technical_42444.pdf,1.0,122074.0,M/S R.R.Builders,19-Jun-2019 04:49 PM,Accepted-AOC,ok,09-Jul-2019 12:21 PM,Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,27-Jun-2019 10:46 AM,finance_42444.pdf,BOQ Comparative Chart,1.0,122074.0,M/S R.R.Builders,INR,"1,510,659",AOC,1.0,FDR - Fixed Deposit,"27,100",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,12-Jun-2019 04:45 PM,20-Jun-2019 11:00 AM,12-Jun-2019 04:50 PM,19-Jun-2019 05:00 PM,NA ,NA ,12-Jun-2019 04:50 PM,19-Jun-2019 05:00 PM,25-Jun-2019 02:00 PM,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,Job 3 Periodical maintenance of link road Ajouli S,2019_PWD_29306_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Job 3 Periodical maintenance of link road Ajouli Sanoli upto Punjab boundary Sub Head Providing and laying 25mm thick bituminous concrete in km. 3-0 to 4-0 and Periodical maintenance of link ro,Job 3 Periodical maintenance of link road Ajouli Sanoli upto Punjab boundary Sub Head Providing and laying 25mm thick bituminous concrete in km. 3-0 to 4-0 and Periodical maintenance of link ro,Please refer to Bidding Documents ,NA ,"13,51,717",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,122031.0,SS CONSTRUCTION COMPANY,19-Jun-2019 02:46 PM,Rejected-AOC,ok,09-Jul-2019 12:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
