Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
09-Jul-2019,"INR 8,335,751",61.0,Pradeep Singh,09-Jul-2019 11:37 AM,26645.pdf (439.00 KB),ER PRADEEP SINGH,Internal,,Dharminder Kumar Verma,28-May-2019 12:07 PM,finsummary_41772.pdf (91.40 KB),Er. Jitender Kumar Gupta,Internal,,Jitender Kumar,25-May-2019 03:04 PM,25-May-2019 03:05 PM,techsummary_41772.pdf (221.00 KB),PWD,2019_PWD_26645_3,MDI-KATINDHI TO JHATINGARI,Periodic Maintenance of Katindhi Jhatingri road(HP0804MRL027) (village road) Under Annual Maintenance Plan for the year 2019-20.,Technical,Summary,Jitender Kumar,25-May-2019 03:01 PM,technical_41772.pdf,1.0,121042.0,AJAY PATHANIA,16-May-2019 06:49 PM,Accepted-AOC,L1,09-Jul-2019 11:37 AM,Finance,Bid opening Summary,Dharminder Kumar Verma,28-May-2019 12:04 PM,finance_41772.pdf,BOQ Comparative Chart,1.0,121042.0,AJAY PATHANIA,INR,"8,335,751",AOC,PWD,MDI-KATINDHI TO JHATINGARI,2019_PWD_26645_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"95,900",Yes,fixed,,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),","2,000",EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Yes,09-May-2019 05:00 PM,17-May-2019 11:30 AM,09-May-2019 05:00 PM,17-May-2019 10:30 AM,NA ,NA ,09-May-2019 05:00 PM,17-May-2019 10:30 AM,25-May-2019 03:05 PM,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Periodic Maintenance of Katindhi Jhatingri road(HP0804MRL027) (village road) Under Annual Maintenance Plan for the year 2019-20.,Providing and laying 25mm thick bituminous concrete including profile correction in Km. 0/0 to 8/0.,Please refer Tender documents. ,NA ,"63,31,896",Civil Works,NA ,Tender,120.0,61.0,EE MANDI DIVISION NO-I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-I HPPWD MANDI,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,121028.0,M/S NAWAL KISHORE AND SONS,16-May-2019 10:24 AM,Rejected-Finance,L2,28-May-2019 12:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
