Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
10-Jul-2019,"INR 1,017,439",30.0,Sanjiv Mahajan,10-Jul-2019 12:20 PM,Award.pdf (162.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Sanjiv Mahajan,10-Jul-2019 12:19 PM,finsummary_35420.pdf (50.68 KB),Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO. Sh. Belder Ram Pathania Supdt. Sh. Ajay Mahajan HDM Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,28-Feb-2019 12:49 PM,28-Feb-2019 02:30 PM,techsummary_35420.pdf (132.26 KB),PWD,2018_PWD_25319_4,18879-18928 dated 28-11-2018,Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Road (HP0413VR0080)(HP-04-41) Chakban to Tahal road (SH-P/L bituminous concrete in km. 0/0 to 1/510),Technical,Opened,Subhash Chander,28-Feb-2019 12:46 PM,technical_35420.pdf,1.0,106559.0,Navneet Thakur,05-Jan-2019 01:00 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jul-2019 12:19 PM,1.0,106950.0,Rakesh Mahajan Govt Contractor,INR,"1,246,840",Finance,Opened,Sanjiv Mahajan,10-Jul-2019 12:16 PM,finance_35420.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Road (HP0413VR0080)(HP-04-41) Chakban to Tahal road (SH-P/L bituminous concrete in km. 0/0 to 1/510),Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Road (HP0413VR0080)(HP-04-41) Chakban to Tahal road (SH-P/L bituminous concrete in km. 0/0 to 1/510),Please refer Tender documents. ,NA ,"10,17,439",Civil Works - Roads,NA ,Tender,120.0,30.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,13-Dec-2018 10:00 AM,07-Jan-2019 11:30 AM,13-Dec-2018 10:00 AM,07-Jan-2019 11:00 AM,NA ,NA ,13-Dec-2018 10:00 AM,07-Jan-2019 11:00 AM,28-Feb-2019 02:30 PM,500.0,"Executive Engineer H.P.PWD., Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra","20,350",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,extended the date,Date,,PWD,18879-18928 dated 28-11-2018,2018_PWD_25319_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,106930.0,pritam singh thkur,06-Jan-2019 02:45 PM,Rejected-Technical,Non-Responsive,28-Feb-2019 12:49 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,106950.0,Rakesh Mahajan Govt Contractor,06-Jan-2019 07:21 PM,Accepted-AOC,Award,10-Jul-2019 12:20 PM,,,,,,,,,,,,AOC,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,106891.0,VIRENDER PRASHAD SHARMA,06-Jan-2019 05:35 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jul-2019 12:19 PM,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No. 6.19)Refer clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Sale tax/GST Number (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,EPF Number shown in General Rule and Direction 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that the contractor has not more than two work in hand within circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,HPPWD Form No-8 Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
