Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,26-Apr-2019 05:19 PM,finsummary_40033.pdf (73.78 KB),29-Jun-2019,"INR 3,024,512",730.0,Sanjeev Thakur,11-Jul-2019 03:20 PM,27988_3award.pdf (306.00 KB),"work was awarded to the lowest bidder vide this office letter No. 1742-48, dated 29.06.2019",Finance,as per uploaded document,Sanjeev Thakur,26-Apr-2019 04:58 PM,finance_40033.pdf,BOQ Comparative Chart,PWD,2019_PWD_27988_3,Elect. Div. HPPWD Palampur,"Construction of Degree College at Thural (Arts block) Tehsil Palampur, Distt. Kangra (HP) (SH- Providing E.I. therein)",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,26-Apr-2019 05:06 PM,techsummary_40033.pdf (121.43 KB),1.0,118924.0,ARUN KUMAR SHARMA,18-Mar-2019 03:35 PM,Accepted-AOC,bidder was lowest (L1),11-Jul-2019 03:20 PM,1.0,118924.0,ARUN KUMAR SHARMA,INR,"2,843,431",AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bid document,Executive Engineer,Electrical Division HPPWD Palampur,02-Mar-2019 10:00 AM,19-Mar-2019 11:30 AM,02-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,NA ,NA ,02-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,"52,900",No,fixed,,Executive Engineer,"Elect. Division, HPPWD Palampur","1,500",Executive Engineer,"Elect. Division, HPPWD Palampur",No,"Construction of Degree College at Thural (Arts block) Tehsil Palampur, Distt. Kangra (HP) (SH- Providing E.I. therein)","Construction of Degree College at Thural (Arts block) Tehsil Palampur, Distt. Kangra (HP) (SH- Providing E.I. therein)",Please refer Tender documents. ,NA ,"30,24,512",Electrical Works,NA ,Tender,120.0,730.0,Thural in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Div. HPPWD Palampur,2019_PWD_27988_3,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,CORRIGENDUM,Technical Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118754.0,JAMWAL ELECTRICAL WORKS,18-Mar-2019 09:22 AM,Rejected-AOC,bidder was not lowest,11-Jul-2019 03:20 PM,,,,,,AOC,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118925.0,Rajesh Kumar Jaswal,18-Mar-2019 02:53 PM,Rejected-AOC,bidder was not lowest,11-Jul-2019 03:20 PM,,,,,,AOC,,,.pdf,Valid Registration certificate in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,118946.0,raman devwedi,18-Mar-2019 04:19 PM,Rejected-AOC,bidder was not lowest,11-Jul-2019 03:20 PM,,,,,,AOC,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,118850.0,SATISH SHARMA,18-Mar-2019 02:08 PM,Rejected-AOC,bidder was not lowest,11-Jul-2019 03:20 PM,,,,,,AOC,,,.pdf,Copy of EPF Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,118603.0,vijan agencies,18-Mar-2019 12:51 PM,Rejected-AOC,bidder was not lowest,11-Jul-2019 03:20 PM,,,,,,AOC,,,.pdf,Copy of latest Income Tax Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Standard Bidding Document (Form-8) printed on judicial paper duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
