Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Summary,Rattan Kumar Sharma,21-Jun-2019 10:34 AM,technical_42056.pdf,1.0,121903.0,Ankush kumar,18-Jun-2019 03:32 PM,Accepted-AOC,AOC,23-Jul-2019 12:53 PM,1.0,121903.0,Ankush kumar,INR,"1,161,619",Finance,SUMMARY,Rattan Kumar Sharma,28-Jun-2019 01:00 PM,finance_42056.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Tender Assistant HDM DAO Superintendent G-II,Rattan Kumar Sharma,23-Jul-2019 12:48 PM,finsummary_42056.pdf (320.76 KB),23-Jul-2019,"INR 873,663",90.0,Rattan Kumar Sharma,23-Jul-2019 12:53 PM,29.pdf (1304.00 KB),AOC,PWD,2019_PWD_29013_5,941-71 DATED 28.05.2019,M/T on Paller Pidiyadhar Road Km.0/0 to 17/00,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,22-Jun-2019 01:32 PM,22-Jun-2019 01:35 PM,techsummary_42056.pdf (382.10 KB),AOC,1.0,DD - Demand Draft,PWD,941-71 DATED 28.05.2019,2019_PWD_29013_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,06-Jun-2019 04:30 PM,20-Jun-2019 02:00 PM,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,NA ,NA ,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,22-Jun-2019 01:35 PM,"17,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",M/T on Paller Pidiyadhar Road Km.0/0 to 17/00,C/O PCC Road side drain and M/T in Km. 10/500 to 11/200 ),Please refer Tender documents. ,NA ,"8,73,663",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,AOC
,,,,,2.0,121963.0,Ashok Kumar,18-Jun-2019 08:40 PM,Rejected-Finance,NOT THE LOWEST BIDDER,23-Jul-2019 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,121982.0,JAI GOPAL SHARMA,19-Jun-2019 09:38 AM,Rejected-Technical,Not Qualified,22-Jun-2019 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,122071.0,RAJESH KUMAR,19-Jun-2019 04:35 PM,Rejected-Finance,NOT THE LOWEST BIDDER,23-Jul-2019 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,122014.0,SHARMA CONSTRUCTIONS,19-Jun-2019 12:59 PM,Rejected-Finance,NOT THE LOWEST BIDDER,23-Jul-2019 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,122001.0,sukhpal,19-Jun-2019 11:15 AM,Rejected-Technical,Not Qualified,22-Jun-2019 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,AOC
