Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of Govt. Sr. Sec. School building at Kihar in Tehsil Salooni, Distt. Chamba (HP) (SH- Providing E.I. therein)","Construction of Govt. Sr. Sec. School building at Kihar in Tehsil Salooni, Distt. Chamba (HP) (SH- Providing E.I. therein)",Please refer Tender documents. ,NA ,"7,14,794",Electrical Works,NA ,Tender,120.0,180.0,Kihar in Distt. Chamba,176320.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bid document,1.0,DD - Demand Draft,PWD,Elect. Div. HPPWD Palampur,2019_PWD_28410_2,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,Executive Engineer,Electrical Division HPPWD Palampur,"14,300",No,fixed,,Executive Engineer,"Elect. Division, HPPWD Palampur",350.0,Executive Engineer,"Elect. Division, HPPWD Palampur",No,12-Mar-2019 10:00 AM,27-Mar-2019 11:30 AM,12-Mar-2019 10:00 AM,26-Mar-2019 05:00 PM,NA ,NA ,12-Mar-2019 10:00 AM,26-Mar-2019 05:00 PM,AOC,Finance,as per uploaded document,Sanjeev Thakur,26-Apr-2019 04:34 PM,finance_40789.pdf,BOQ Comparative Chart,PWD,2019_PWD_28410_2,Elect. Div. HPPWD Palampur,"Construction of Govt. Sr. Sec. School building at Kihar in Tehsil Salooni, Distt. Chamba (HP) (SH- Providing E.I. therein)",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 04:40 PM,techsummary_40789.pdf (127.00 KB),Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 04:47 PM,finsummary_40789.pdf (58.26 KB),29-Jun-2019,"INR 714,794",180.0,Sanjeev Thakur,11-Jul-2019 03:03 PM,28410_2award.pdf (301.00 KB),"awarded to the lowest bidder vide this office letter No. 1795-1800, dated 29.06.2019",1.0,119657.0,CONTRACTOR,24-Mar-2019 01:12 PM,Accepted-AOC,bidder was lowest (L1),11-Jul-2019 03:03 PM,1.0,119657.0,CONTRACTOR,INR,"912,685",AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,119650.0,SURINDER KUMAR,24-Mar-2019 01:22 PM,Rejected-AOC,bidder was L2,11-Jul-2019 03:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Valid copy of Registration Certificate in appropriate class in HPPWD (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income Tax Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8) on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
