Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"2,500",Executive Engineer IPH Division No.II Una HP,Executive Engineer IPH Division No.II Una HP,Yes,22-Jan-2019 10:00 AM,05-Feb-2019 11:30 AM,22-Jan-2019 10:00 AM,04-Feb-2019 05:00 PM,22-Jan-2019 10:00 AM ,04-Feb-2019 05:00 PM ,22-Jan-2019 10:00 AM,04-Feb-2019 05:00 PM,16-Feb-2019 03:15 PM,1.0,FDR - Fixed Deposit,Improvement of LWSS Ramgarhdhar in Tehsil Bangana District Una HP,"SH Construction of water treatment Unit, Pump house for 2nd stage, 36 Nos. RCC underground reservoir of differentcapacity at different locations, site development. BP tanks, Brick masonry pillar for G/main for nallah crossing, boundary wall",AS per conditions of NIT  ,NA ,"9,36,26,552",Civil Works,NA ,Tender,120.0,730.0,LWSS Ramgarhdhar in Tehsil Bangana District Una HP,174303.0,Chief Engineer IPH Department Hamirpur Zone  ,Chief Engineer IPH Department Hamirpur Zone Distt Hamirpur HP  ,29-Jan-2019 12:30 PM ,Una HP,No ,No,"9,68,770",No,fixed,,Executive Engineer IPH Division No.II Una HP,Executive Engineer IPH Division No.II Una HP,Executive Engineer IPH Division No.II Una HP,Executive Engineer IPH Division No.II Una HP,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",NO.IPH- UNA-CB-Tender/19- 25292-25391 dt 21-01-19,2019_HPIPH_26140_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,Earnest Money,1.0,Corrected Corrigendum,Other,,AOC,Executive Engineer,Internal,Supdt HDM Sr. DAO Executive Engineer,Arvind Sood,01-Jul-2019 12:05 PM,finsummary_36831.pdf (30.01 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",2019_HPIPH_26140_1,NO.IPH- UNA-CB-Tender/19- 25292-25391 dt 21-01-19,Improvement of LWSS Ramgarhdhar in Tehsil Bangana District Una HP,1.0,109231.0,Dogra Construction Company Pvt Ltd,INR,"142,065,065",-----,Internal,----,Arvind Sood,16-Feb-2019 03:12 PM,16-Feb-2019 03:15 PM,techsummary_36831.pdf (1256.80 KB),1.0,109231.0,Dogra Construction Company Pvt Ltd,03-Feb-2019 05:43 PM,Accepted-AOC,L1,01-Jul-2019 12:08 PM,01-Jul-2019,"INR 142,065,065",730.0,Arvind Sood,01-Jul-2019 12:08 PM,Letter88.pdf (50.00 KB),-,Finance,Summary,Arvind Sood,16-Feb-2019 03:42 PM,finance_36831.pdf,BOQ Comparative Chart,Technical,Technical summary attached,Arvind Sood,16-Feb-2019 03:10 PM,technical_36831.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,110094.0,HARJEET SINGH,31-Jan-2019 09:25 PM,Rejected-AOC,2,01-Jul-2019 12:08 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,(i) The Earnest Money (through online (e-payment) or offline mode),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,110354.0,Unipro Techno Infrastructure Pvt Ltd,02-Feb-2019 05:13 PM,Rejected-AOC,3,01-Jul-2019 12:08 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of tender form (through online (e-payment) or offline mode) as shown above in shape of DD,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with IPH Department in appropriate class,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax PAN No. (Permanent Account No.), GST registration, EPF registration and latest clearance",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(a) An Average Annual Turnover during the last 3 Years ending 31st March of the previous financial,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience certificate as per condition of NIT No.4 B (abc),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
