Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
23-Jul-2019,"INR 1,919,386",182.0,Bhupinder Singh,28-Jul-2019 07:43 AM,Awardletter.PDF (1186.00 KB),Awardletter,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,17-Jul-2019 05:11 PM,finsummary_42689.pdf (605.38 KB),Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,16-Jul-2019 11:52 AM,16-Jul-2019 01:00 PM,techsummary_42689.pdf (786.94 KB),PWD,2019_PWD_29512_1,Job 2 Balance work for the Construction of Veterin,"Job 2 Balance work for the Construction of Veterinary Hospital at Village Khad, Tehsil Haroli Distt. Una HOP Sub Head Construction of Building Portion and W.S and SI",Technical,TechnicalBidOpeningSummary,Bhupinder Singh,16-Jul-2019 10:19 AM,technical_42689.pdf,1.0,123187.0,Rohit Kumar,27-Jun-2019 04:30 PM,Accepted-AOC,ok,28-Jul-2019 07:43 AM,1.0,123187.0,Rohit Kumar,INR,"2,213,183",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,17-Jul-2019 04:07 PM,finance_42689.pdf,BOQ Comparative Chart,AOC,"36,300",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","Job 2 Balance work for the Construction of Veterinary Hospital at Village Khad, Tehsil Haroli Distt. Una HOP Sub Head Construction of Building Portion and W.S and SI","Job 2 Balance work for the Construction of Veterinary Hospital at Village Khad, Tehsil Haroli Distt. Una HOP Sub Head Construction of Building Portion and W.S and SI",Please refer to Bidding Documents ,NA ,"19,19,386",Civil Works - Buildings,NA ,Tender,120.0,182.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),1.0,FDR - Fixed Deposit,PWD,Job 2 Balance work for the Construction of Veterin,2019_PWD_29512_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,20-Jun-2019 10:30 AM,28-Jun-2019 11:00 AM,20-Jun-2019 10:30 AM,27-Jun-2019 05:00 PM,NA ,NA ,20-Jun-2019 10:30 AM,27-Jun-2019 05:00 PM,16-Jul-2019 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123197.0,SANDEEP SHARMA,27-Jun-2019 04:56 PM,Rejected-AOC,ok,28-Jul-2019 07:43 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
