S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,CHANGE OF OPENEING DATE,Date,,PWD,14493-592 DATED 28/01/2019,2019_PWD_27189_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,A/M of Nakrod Tikrigarh Bagheigarh road KM 7/0 to 10/0,Providing and laying bituminous concrete and C/o PCC drain,Please refer Tender documents. ,NA ,"23,96,933",Civil Works - Roads,NA ,Tender,90.0,30.0,Tissa,176316.0,NA ,NA ,NA ,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,No ,No,"43,500",No,fixed,,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,Tissa/Bhanjraru,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,"1,500",EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,Tissa/Bhanjraru,No,13-Feb-2019 09:00 AM,28-Feb-2019 11:30 AM,13-Feb-2019 09:00 AM,28-Feb-2019 11:00 AM,NA ,NA ,13-Feb-2019 09:00 AM,28-Feb-2019 11:00 AM,05-Mar-2019 11:30 AM,1.0,DD - Demand Draft,AOC,PWD,2019_PWD_27189_1,14493-592 DATED 28/01/2019,A/M of Nakrod Tikrigarh Bagheigarh road KM 7/0 to 10/0,EE,Internal,EE AE SUPDT HDM SR ASSTT,Harsh Puri,04-Mar-2019 04:41 PM,05-Mar-2019 11:30 AM,techsummary_38715.pdf (446.74 KB),EE,Internal,SR ASSTT SUPDT HDM AE,Harsh Puri,10-Jul-2019 04:56 PM,finsummary_38715.pdf (189.04 KB),10-Jul-2019,"INR 2,396,933",30.0,Harsh Puri,10-Jul-2019 04:58 PM,38.pdf (558.00 KB),AOC,1.0,115794.0,Govt Contractor,INR,"3,027,693",Finance,EVE,Harsh Puri,10-Jul-2019 04:55 PM,finance_38715.pdf,BOQ Comparative Chart,1.0,115794.0,Govt Contractor,26-Feb-2019 06:42 PM,Accepted-AOC,L1,10-Jul-2019 04:58 PM,Technical,EVALUATION,Harsh Puri,04-Mar-2019 04:40 PM,technical_38715.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115810.0,sahab singh thakur,26-Feb-2019 07:41 PM,Rejected-AOC,L2,10-Jul-2019 04:58 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LATEST CONTRACTOR REGISTRATION,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM 8 DULY SIGNED,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"DOCUMENTAL PROOF OF OWNERSHIP OF PAVER, ROAD ROLLER AND HOT MIXER PLANT",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT NOT HAVING MORE THAN TWO WORK IN HAND,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OF CORRECTNESS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
