S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,500.0,Executive Engineer HIMUDA Electrical Divn Dshala,Executive Engineer HIMUDA Electrical Divn Dshala,Yes,Partially Self Financing SCheme at Hamirpur,SH Providing Internal EI work to 12 Nos. Cat-I Flats with Parking,Please refer Tender documents. ,NA ,"22,24,508",Electrical Works,NA ,Tender,120.0,635.0,Hamirpur,177001.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer HIMUDA Electrical Divn Dshala,HIMUDA Electrical Division Rakkar Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Earnest Money (As per NIT),02-Feb-2019 04:00 PM,26-Feb-2019 02:00 PM,04-Feb-2019 10:00 AM,25-Feb-2019 04:00 PM,04-Feb-2019 10:00 AM ,25-Feb-2019 04:00 PM ,04-Feb-2019 10:00 AM,25-Feb-2019 04:00 PM,26-Feb-2019 03:55 PM,"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",HIMUDA/EDD/W-7/2019/1656-96,2019_HIMUD_26558_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"40,870",Yes,fixed,,Executive Engineer HIMUDA Electrical Divn Dshala,Executive Engineer HIMUDA Electrical Divn Dshala,AOC,17-Jul-2019,"INR 2,224,508",635.0,Rajani Duggal,22-Jul-2019 01:27 PM,PSFSHMRCat-I.pdf (1662.00 KB),AWARD OF CONTRACT,Finance,Financial Bid Opening summary,Rajani Duggal,26-Feb-2019 04:33 PM,finance_37665.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Rajani Duggal,26-Feb-2019 03:41 PM,None,Er Rajni Dggal,Internal,"Sh Ram Krishan AE(E), Sh Roshan Lal HDM",Rajani Duggal,26-Feb-2019 03:51 PM,26-Feb-2019 03:55 PM,techsummary_37665.pdf (1345.88 KB),1,113647,Anil Soni,23-Feb-2019 07:40 PM,Accepted-AOC,Accepted Lowest Contractor,22-Jul-2019 01:27 PM,Er Rajni Duggal,Internal,"Ram Krishan AE(E), Roshan Lal HDM",Rajani Duggal,26-Feb-2019 04:44 PM,finsummary_37665.pdf (1212.29 KB),1.0,113647.0,Anil Soni,INR,"1,703,992","Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",2019_HIMUD_26558_1,HIMUDA/EDD/W-7/2019/1656-96,Partially Self Financing SCheme at Hamirpur,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form (As per NIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,114960,ARUN KUMAR SHARMA,24-Feb-2019 10:20 AM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with HPPWD/HIMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,115193,Baldev Ram Suri,25-Feb-2019 02:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 03:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance of terms and Condition as per Form No. 6 and 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,114808,Deepak Sood,23-Feb-2019 12:14 PM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of license issued by the Chief Electrical Inspector Shimla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,115177,Dhiman Elect-,25-Feb-2019 01:57 PM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,115139,KUMAR ELECTRONICS CO.,25-Feb-2019 01:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 03:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration No and EPF Registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,115174,MALHOTRA ASSOCIATES,25-Feb-2019 01:55 PM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,112382,M/s Ravindra Electrical,12-Feb-2019 08:25 PM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,115124,NITIN PROP A VIGHNA ELECTRICALS,25-Feb-2019 10:15 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 03:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,113404,SHARMA ELECTRICAL CO.,23-Feb-2019 06:37 PM,Rejected-AOC,Rejected,22-Jul-2019 01:27 PM,,,,,,,,,,,,,,,,AOC
