Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Technical,bid opening,Pramod Kashyap,18-Jun-2019 02:41 PM,technical_42086.pdf,1.0,121518.0,ashok Thakur,16-Jun-2019 11:47 AM,Accepted-AOC,L 1,03-Jul-2019 03:13 PM,Finance,fin bid,Pramod Kashyap,20-Jun-2019 04:39 PM,finance_42086.pdf,BOQ Comparative Chart,1.0,121518.0,ashok Thakur,INR,"1,046,368",EE,Internal,Supdt HDM DAO,Pramod Kashyap,20-Jun-2019 06:27 PM,finsummary_42086.pdf (151.04 KB),03-Jul-2019,"INR 694,037",30.0,Pramod Kashyap,03-Jul-2019 03:13 PM,award.pdf (718.00 KB),C/o link road Jamna Patera road (Actual Name Patera to Jamna road,PWD,2019_PWD_29033_1,C/o link road Jamna Patera road,C/o link road Jamna Patera road (Actual Name Patera to Jamna road,EE,Internal,Supdt HDM DAO,Pramod Kashyap,20-Jun-2019 12:42 PM,20-Jun-2019 03:00 PM,techsummary_42086.pdf (450.08 KB),AOC,07-Jun-2019 10:30 AM,18-Jun-2019 11:30 AM,07-Jun-2019 10:30 AM,18-Jun-2019 10:30 AM,NA ,NA ,07-Jun-2019 10:30 AM,18-Jun-2019 10:30 AM,20-Jun-2019 03:00 PM,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"13,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,C/o link road Jamna Patera road,2019_PWD_29033_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/o link road Jamna Patera road (Actual Name Patera to Jamna road,Providing and laying soling and M/T in km 0/500 to 0/900,Please refer Tender documents. ,NA ,"6,94,037",Civil Works - Roads,NA ,Tender,120.0,30.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,DD - Demand Draft,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,2.0,121570.0,KAMAL PATHANIA GOVT.CONTRACTOR,16-Jun-2019 07:26 PM,Rejected-Finance,L 2,20-Jun-2019 06:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,AOC
