Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
18-Jul-2019,"INR 1,083,383",90.0,Sanjiv Kumar,18-Jul-2019 03:31 PM,AOCshamshan.pdf (276.00 KB),Financial bid open successfully,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,26-Apr-2019 10:45 AM,finsummary_39762.pdf (156.19 KB),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,15-Mar-2019 11:24 AM,16-Mar-2019 11:00 AM,techsummary_39762.pdf (520.83 KB),PWD,2019_PWD_27855_1,PWD-BD-NIT-2018-19-19371-19420,Construction of Shamshan Ghat at Mahankal in Tehsil Baijnath Distt. Kangra H.P,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid,Sanjiv Kumar,15-Mar-2019 11:23 AM,technical_39762.pdf,1.0,117139.0,Anil Katoch,05-Mar-2019 12:55 PM,Accepted-AOC,Lower side,18-Jul-2019 03:31 PM,1.0,117139.0,Anil Katoch,INR,"1,560,858",Finance,Financial Bid of the said work open on 16.3.2019 successfully.,Sanjiv Kumar,26-Apr-2019 10:44 AM,finance_39762.pdf,BOQ Comparative Chart,AOC,Construction of Shamshan Ghat at Mahankal in Tehsil Baijnath Distt. Kangra H.P,Distempering and Demolition of existing shed and C/O 3 Nos. Criminatioin Shed) Deposit work.,Please refer Tender documents. ,NA ,"10,83,383",Civil Works - Buildings,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,EE Baijnath Division,EE Baijnath Division,1.0,DD - Demand Draft,25-Feb-2019 05:00 PM,11-Mar-2019 11:00 AM,25-Feb-2019 05:00 PM,11-Mar-2019 10:30 AM,NA ,NA ,25-Feb-2019 05:00 PM,11-Mar-2019 10:30 AM,16-Mar-2019 11:00 AM,500.0,EE Baijnath,Baijnath,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,PWD,PWD-BD-NIT-2018-19-19371-19420,2019_PWD_27855_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"21,700",No,fixed,,EE Baijnath,Baijnath,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117213.0,Shalabh Awasthi,05-Mar-2019 04:35 PM,Rejected-Finance,Higher Side,26-Apr-2019 10:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per mentioned in the SBD,,,,,,,,,,,,,,,,,,,,,AOC
