Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,PWD,PW/MED/TA/NIT /e-notice/19-20-888-94 dt 30.05.19,2019_PWD_29309_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,"11,150",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,14-Jun-2019 10:00 AM,24-Jun-2019 11:30 AM,14-Jun-2019 10:00 AM,24-Jun-2019 10:00 AM,NA ,NA ,14-Jun-2019 10:00 AM,24-Jun-2019 10:00 AM,24-Jun-2019 04:00 PM,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,"Replacement of EI in Technical Education Directorate office building at Sunder Nagar, District- Mandi HP 1st floor and 2nd floor","Replacement of EI in Technical Education Directorate office building at Sunder Nagar, District- Mandi HP 1st floor and 2nd floor",Please refer to NIT and bid document ,NA ,"5,56,636",Electrical Works,NA ,Tender,120.0,180.0,Sunder Nagar,175019.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",AOC,1.0,121791.0,SURESH KUMAR,23-Jun-2019 06:34 PM,Accepted-AOC,work awarded being L1 contractor,31-Jul-2019 01:26 PM,Technical,technical bid summary,Dalip singh Patial,24-Jun-2019 03:35 PM,technical_42445.pdf,Finance,Financial bid summary,Dalip singh Patial,25-Jun-2019 12:17 PM,finance_42445.pdf,BOQ Comparative Chart,1.0,121791.0,SURESH KUMAR,INR,"524,062",PWD,2019_PWD_29309_1,PW/MED/TA/NIT /e-notice/19-20-888-94 dt 30.05.19,"Replacement of EI in Technical Education Directorate office building at Sunder Nagar, District- Mandi HP 1st floor and 2nd floor",Er Dalip singh Patial EE,Internal,Sh. Jai Ram HDM Sh Yadvinder Kumar Sr Asstt Sh Kapil Dev Sr Asstt,Dalip singh Patial,24-Jun-2019 03:41 PM,24-Jun-2019 04:00 PM,techsummary_42445.pdf (414.76 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Yadvinder Kumar Sr Asstt Sh Kapil Dev Sr Asstt,Dalip singh Patial,25-Jun-2019 12:29 PM,finsummary_42445.pdf (593.79 KB),20-Jul-2019,"INR 524,062",180.0,Dalip singh Patial,31-Jul-2019 01:26 PM,AOC.pdf (644.00 KB),work awarded to L1 contractor sh Suresh Kumar Class C,AOC
,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC,2.0,122614.0,Vikas soni,23-Jun-2019 04:58 PM,Rejected-Finance,rejected being L2,25-Jun-2019 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class B or C,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST REGITRATION GENERAL RULES NO. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
