Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,Executive Engineer HIMUDA Electrical Divn Dshala,Executive Engineer HIMUDA Electrical Divn Dshala,Yes,Executive Engineer HIMUDA Electrical Divn Dshala,HIMUDA Electrical Division Rakkar Dharamshala,"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",HIMUDA/EDD/W-7/2019/1656-96,2019_HIMUD_26565_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Partially Self Financing Scheme at Hamirpur,SH Providing Internal EI work to 12 Nos. Cat-II Flats with Parking,Please refer Tender documents. ,NA ,"19,32,434",Electrical Works,NA ,Tender,120.0,635.0,Hamirpur,177001.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money (As per NIT),"36,490",Yes,fixed,,Executive Engineer HIMUDA Electrical Divn Dshala,Executive Engineer HIMUDA Electrical Divn Dshala,02-Feb-2019 04:00 PM,26-Feb-2019 02:00 PM,04-Feb-2019 10:00 AM,25-Feb-2019 04:00 PM,04-Feb-2019 10:00 AM ,25-Feb-2019 04:00 PM ,04-Feb-2019 10:00 AM,25-Feb-2019 04:00 PM,26-Feb-2019 05:25 PM,1.0,DD - Demand Draft,AOC,17-Jul-2019,"INR 1,932,434",635.0,Rajani Duggal,22-Jul-2019 01:21 PM,PSFSHMRCat-II.pdf (1763.00 KB),Award of Contract,Finance,Bid opening summary,Rajani Duggal,26-Feb-2019 05:52 PM,finance_37671.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Rajani Duggal,26-Feb-2019 05:18 PM,technical_37671.pdf,Er Rajni Duggal,Internal,"Ram Krishan AE (EW), Sh. Roshan Lal HDM",Rajani Duggal,26-Feb-2019 05:21 PM,26-Feb-2019 05:25 PM,techsummary_37671.pdf (1376.37 KB),1,113666,Anil Soni,23-Feb-2019 07:29 PM,Accepted-AOC,Accepted Lowest contractor,22-Jul-2019 01:21 PM,ER Rajni Duggal,Internal,"Ram Krishan Ae(E), Sh. Roshan Lal HDM",Rajani Duggal,26-Feb-2019 05:57 PM,finsummary_37671.pdf (1231.84 KB),"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA",2019_HIMUD_26565_1,HIMUDA/EDD/W-7/2019/1656-96,Partially Self Financing Scheme at Hamirpur,1.0,113666.0,Anil Soni,INR,"1,519,172",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form (As per NIT),,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,114963,ARUN KUMAR SHARMA,24-Feb-2019 12:30 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with HPPWD/HIMUDA,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,115197,Baldev Ram Suri,25-Feb-2019 02:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 05:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance of terms and Condition as per Form No. 6 and 8,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,114811,Deepak Sood,23-Feb-2019 12:01 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of license issued by the Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,115171,Dhiman Elect-,25-Feb-2019 01:50 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax PAN/TAN No.,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,115140,KUMAR ELECTRONICS CO.,25-Feb-2019 02:05 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration No and EPF Registration No.,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,114884,Mahesh Chand,23-Feb-2019 05:04 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,115178,MALHOTRA ASSOCIATES,25-Feb-2019 02:02 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,112384,M/s Ravindra Electrical,12-Feb-2019 08:34 PM,Rejected-Finance,Rejected,26-Feb-2019 05:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,115131,NITIN PROP A VIGHNA ELECTRICALS,25-Feb-2019 10:30 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 05:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,11,114854,SHARMA ELECTRICAL CO.,23-Feb-2019 02:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2019 05:18 PM,,,,,,,,,,,,,,,,AOC
