Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
01-Jul-2019,"INR 4,382,557.1",180.0,Naresh Raj Chandel,01-Jul-2019 04:10 PM,AOC10mtrspan.pdf (7094.00 KB),AOC issued,"Superintending Engineer, 1st Circle, HPPWD Mandi",Internal,Executive Engineer (D) 1st Circle Executive Engineer Sundernagar Divn Circle Head D.Man Superintendent (Works),Naresh Raj Chandel,01-Jul-2019 04:05 PM,finsummary_37403.pdf (7093.84 KB),Er DR Chauhan EE,Internal,Er Lalit Kumar AE Sushil Kumar DAO GrI Dinesh Sen HDM Girja Sharma Supdt,Naresh Raj Chandel,20-Feb-2019 01:11 PM,20-Feb-2019 03:30 PM,techsummary_37403.pdf (4712.09 KB),PWD,2019_PWD_26420_1,PW-SNR-CB-E-TDR/18-18630-34 dt 15-01-19,Construction of 10mtr span RCC slab culvert alongwith wing wall and wire crate protection wall etc. on Ropa Nallah at village Ropa on NTPC Road,1.0,112252.0,Krishna High Base Pvt. Ltd,INR,"4,382,557",Finance,FBOS,Naresh Raj Chandel,21-Feb-2019 03:13 PM,finance_37403.pdf,BOQ Comparative Chart,Technical,FBOS,Naresh Raj Chandel,16-Feb-2019 12:44 PM,technical_37403.pdf,1.0,112813.0,ANKUSH VERMA,14-Feb-2019 03:20 PM,Rejected-Technical,Non Responsive,20-Feb-2019 01:11 PM,AOC,Construction of 10mtr span RCC slab culvert alongwith wing wall and wire crate protection wall etc. on Ropa Nallah at village Ropa on NTPC Road,Construction of 10mtr span RCC slab culvert alongwith wing wall and wire crate protection wall etc.,Please refer Tender documents. ,NA ,"36,44,677",Civil Works,NA ,Tender,120.0,180.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O E.E. Sunder Nagar Division HPPWD,No ,No,"62,500",No,fixed,,EE Sundernagar,Sundernagar,1.0,DD - Demand Draft,"1,500",EE Sundernagar,Sundernagar,No,PWD,PW-SNR-CB-E-TDR/18-18630-34 dt 15-01-19,2019_PWD_26420_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,01-Feb-2019 09:00 AM,15-Feb-2019 11:00 AM,01-Feb-2019 10:00 AM,14-Feb-2019 06:00 PM,01-Feb-2019 10:00 AM ,14-Feb-2019 04:00 PM ,01-Feb-2019 10:00 AM,14-Feb-2019 06:00 PM,20-Feb-2019 03:30 PM,E.E. Sunder Nagar Division HPPWD,E.E. Sunder Nagar Division HPPWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112720.0,BUDHI SINGH,14-Feb-2019 11:14 AM,Rejected-Technical,Non Responsive,20-Feb-2019 01:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,112252.0,Krishna High Base Pvt. Ltd,12-Feb-2019 12:45 PM,Accepted-AOC,Being Lowest,01-Jul-2019 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,112733.0,Parveen Construction,14-Feb-2019 12:00 PM,Rejected-AOC,Not found lowest,01-Jul-2019 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,111585.0,Tushar Saini Govt. Contractor,14-Feb-2019 05:09 PM,Rejected-Technical,Non Responsive,20-Feb-2019 01:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,111973.0,umesh Kumar,11-Feb-2019 03:44 PM,Rejected-Technical,Non Responsive,20-Feb-2019 01:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,112483.0,Vineet Kumar,14-Feb-2019 03:46 PM,Rejected-Technical,Non Responsive,20-Feb-2019 01:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
