Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
12-Mar-2019 10:00 AM,27-Mar-2019 11:30 AM,12-Mar-2019 10:00 AM,26-Mar-2019 05:00 PM,NA ,NA ,12-Mar-2019 10:00 AM,26-Mar-2019 05:00 PM,Construction of Office cum residence for C.I.D. wing of Police Department at Chamba (HP) (SH- Providing E.I. therein),Construction of Office cum residence for C.I.D. wing of Police Department at Chamba (HP) (SH- Providing E.I. therein),Please refer Tender documents. ,NA ,"10,89,352",Electrical Works,NA ,Tender,120.0,730.0,Chamba in Teh. and Distt. Chamba,176310.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bid document,500.0,Executive Engineer,"Elect. Division, HPPWD Palampur",No,"21,800",No,fixed,,Executive Engineer,"Elect. Division, HPPWD Palampur",PWD,Elect. Div. HPPWD Palampur,2019_PWD_28410_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,Executive Engineer,Electrical Division HPPWD Palampur,1.0,DD - Demand Draft,AOC,Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 04:38 PM,techsummary_40786.pdf (136.75 KB),Finance,as per uploaded document,Sanjeev Thakur,26-Apr-2019 04:33 PM,finance_40786.pdf,BOQ Comparative Chart,PWD,2019_PWD_28410_1,Elect. Div. HPPWD Palampur,Construction of Office cum residence for C.I.D. wing of Police Department at Chamba (HP) (SH- Providing E.I. therein),08-Jul-2019,"INR 1,089,352",730.0,Sanjeev Thakur,11-Jul-2019 02:55 PM,28410_1award.pdf (315.00 KB),"awarded to the lowest bidder vide this office letter No. 1935-40, dated 08.07.2019",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 04:44 PM,finsummary_40786.pdf (58.92 KB),1.0,119604.0,Baldev Ram Suri,22-Mar-2019 09:20 PM,Accepted-AOC,bidder was lowest (L1),11-Jul-2019 02:55 PM,1.0,119604.0,Baldev Ram Suri,INR,"1,319,678",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,119658.0,MALHOTRA ASSOCIATES,24-Mar-2019 01:32 PM,Rejected-AOC,bidder was L2,11-Jul-2019 02:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid copy of Registration Certificate in appropriate class in HPPWD (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,119661.0,Vishal Suri,24-Mar-2019 03:44 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,26-Apr-2019 04:33 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income Tax Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8) on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
