Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
05-Jul-2019,"INR 1,751,851",120.0,Pramod Kashyap,05-Jul-2019 02:46 PM,award.pdf (458.00 KB),C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,EE,Internal,supdt HDM DAO,Pramod Kashyap,04-Jul-2019 04:42 PM,finsummary_42589.pdf (187.49 KB),Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,04-Jul-2019 02:36 PM,04-Jul-2019 04:00 PM,techsummary_42589.pdf (715.45 KB),PWD,2019_PWD_29432_1,C/O and M/T link road to village Ambota to Amboa,C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,Technical,bid opening summary,Pramod Kashyap,04-Jul-2019 12:08 PM,technical_42589.pdf,1.0,123591.0,ashok Thakur,02-Jul-2019 07:03 PM,Rejected-Finance,L 7,04-Jul-2019 04:42 PM,1.0,123600.0,Subash Chand,INR,"1,756,116",Finance,fin bid opening summary,Pramod Kashyap,04-Jul-2019 04:27 PM,finance_42589.pdf,BOQ Comparative Chart,AOC,C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,"ROFD,P/L CD,C/O R/wall and B/wall at various rds. Between km. 0/0 to 1/500) Under OTMNP Head",Please refer Tender documents. ,NA ,"17,51,851",Civil Works - Roads,NA ,Tender,120.0,120.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,"33,800",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,20-Jun-2019 10:30 AM,04-Jul-2019 11:30 AM,20-Jun-2019 10:30 AM,04-Jul-2019 10:30 AM,NA ,NA ,20-Jun-2019 10:30 AM,04-Jul-2019 10:30 AM,04-Jul-2019 04:00 PM,PWD,C/O and M/T link road to village Ambota to Amboa,2019_PWD_29432_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123381.0,ashwani kumar,29-Jun-2019 07:49 PM,Rejected-Finance,L 6,04-Jul-2019 04:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,123602.0,M/S VIPAN KUMAR,02-Jul-2019 08:42 PM,Rejected-Finance,L 5,04-Jul-2019 04:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,123640.0,Parmjeet Sharma,03-Jul-2019 03:59 PM,Rejected-Finance,L 4,04-Jul-2019 04:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,123705.0,Sanjeev Kumar,04-Jul-2019 07:18 AM,Rejected-AOC,L 2,05-Jul-2019 02:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,123600.0,Subash Chand,02-Jul-2019 08:21 PM,Accepted-AOC,L 1,05-Jul-2019 02:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,123707.0,vishal govt contractor,04-Jul-2019 10:18 AM,Rejected-Finance,L 3,04-Jul-2019 04:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,AOC
