Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",1.0,DD - Demand Draft,Balance work for the construction of Stadium at Sandhole Distt Mandi HP,Construction of pavilion building including WS and SI sitting tiers 03 Nos entrance gte septic tank and rain water harvesting tank,Please refer tender documents  ,NA ,"46,70,741",Civil Works - Buildings,NA ,Tender,120.0,270.0,Dharampur,175040.0,NA ,NA ,NA ,Dharampur,No ,No,"78,000",No,fixed,,Executive Engineer,HPPWD Division Dharampur,16-Mar-2019 05:00 PM,22-Mar-2019 11:30 AM,16-Mar-2019 05:00 PM,22-Mar-2019 11:00 AM,NA ,NA ,16-Mar-2019 05:00 PM,22-Mar-2019 11:00 AM,05-Apr-2019 02:00 PM,PWD,24091-93 dt.18.02.2019,2019_PWD_28531_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HPPWD Division Dharampur,"2,000",Executive Engineer,HPPWD Division Dharampur,No,AOC,PWD,2019_PWD_28531_1,24091-93 dt.18.02.2019,Balance work for the construction of Stadium at Sandhole Distt Mandi HP,Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur HDM Supdtt GrII HPPWD Division Dharampur,Eshant Thakur,04-Apr-2019 03:08 PM,05-Apr-2019 02:00 PM,techsummary_41026.pdf (282.85 KB),Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Div Dharampur Supdtt GrII HDm HPPWD Division Dharampur,Eshant Thakur,11-Apr-2019 11:28 AM,finsummary_41026.pdf (263.56 KB),02-Jul-2019,"INR 5,858,235",270.0,Anil Kumar Sharma,02-Jul-2019 04:06 PM,28531.PDF (1784.00 KB),Work awarded to Sh. Roop Lal Govt Contractor vide this office letter No. 5055-62 dt. 02.07.2019,Finance,"Executive Engineer, HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur Supdtt GrIi HDM HPPWD Division Dharampur",Eshant Thakur,11-Apr-2019 11:24 AM,finance_41026.pdf,BOQ Comparative Chart,1.0,119064.0,Roop Lal,INR,"5,858,235",1.0,119408.0,Ashish Thakur,21-Mar-2019 10:38 AM,Rejected-AOC,2nd lowest,02-Jul-2019 04:06 PM,Technical,"Executive Engineer, HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur Divisional Accountant HPPWD Division Dharampur Supdtt GrIi HDm HPPWD Division Dharampur",Anil Kumar Sharma,22-Mar-2019 11:59 AM,technical_41026.pdf,AOC
,,.pdf,"Earnest money(indicated in Schedule-F),",2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,119064.0,Roop Lal,19-Mar-2019 02:48 PM,Accepted-AOC,1st lowest,02-Jul-2019 04:06 PM,,,,,,AOC
,,.pdf,"Contractor Registration(General Rule No.23) ,GST Registration (TIN No.)(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate and Work In Hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration No. of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavits regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the contractor should not have more than two works each of Rs. 100 Lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
