Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,SUM,Suresh Kumar Walia,12-Jul-2019 01:07 PM,technical_42429.pdf,1.0,123148.0,AMIT KUMAR SHARMA,27-Jun-2019 02:05 PM,Rejected-AOC,L2,26-Jul-2019 01:58 PM,1.0,123168.0,pritam singh thkur,INR,"690,000",Finance,sum,Suresh Kumar Walia,12-Jul-2019 04:58 PM,finance_42429.pdf,BOQ Comparative Chart,24-Jul-2019,"INR 690,000",60.0,Suresh Kumar Walia,26-Jul-2019 01:58 PM,Award.pdf.pdf (343.00 KB),Award,Dr Suresh Kumar Walia,Internal,JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,12-Jul-2019 05:01 PM,finsummary_42429.pdf (494.79 KB),Dr Suresh Kumar Walia,Internal,JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,12-Jul-2019 01:13 PM,12-Jul-2019 02:00 PM,techsummary_42429.pdf (494.79 KB),PWD,2019_PWD_29295_1,PWD CIVIL-1203-22-TANDA,Construction of link road Malan to Garh Mata Km 0/500 to 1/500 in Distt Kangra (HP) (SH Providing and laying Mettaling and Tarring in Km 0/500 to 1/500),AOC,13-Jun-2019 04:00 PM,28-Jun-2019 11:30 AM,13-Jun-2019 04:00 PM,27-Jun-2019 05:00 PM,NA ,NA ,13-Jun-2019 04:00 PM,27-Jun-2019 05:00 PM,12-Jul-2019 02:00 PM,"11,000",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,PWD,PWD CIVIL-1203-22-TANDA,2019_PWD_29295_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,1.0,DD - Demand Draft,350.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Construction of link road Malan to Garh Mata Km 0/500 to 1/500 in Distt Kangra (HP) (SH Providing and laying Mettaling and Tarring in Km 0/500 to 1/500),Construction of link road Malan to Garh Mata Km 0/500 to 1/500 in Distt Kangra (HP) (SH Providing and laying Mettaling and Tarring in Km 0/500 to 1/500),Please refer Tender documents. ,NA ,"5,29,050",Civil Works - Roads,NA ,Tender,120.0,60.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,2.0,123168.0,pritam singh thkur,27-Jun-2019 03:13 PM,Accepted-AOC,L1,26-Jul-2019 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,123042.0,Rohit,27-Jun-2019 10:57 AM,Rejected-AOC,L4,26-Jul-2019 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,123136.0,VIRENDER PRASHAD SHARMA,27-Jun-2019 01:22 PM,Rejected-AOC,L3,26-Jul-2019 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,AOC
