Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,03-Jul-2019 01:46 PM,finsummary_39971.pdf (324.88 KB),03-Jul-2019,"INR 23,339,884",510.0,Ajay Kumar Sharma,03-Jul-2019 01:49 PM,aoc.pdf (1565.00 KB),AOC,PWD,2019_PWD_27953_1,CB/Tender2018-19 13336-13385 dt 13.02.2019,"Construction of and improvement /M/T andconstruction of drain sukhi ka Khala Pul road to Shamshanghat (Majra) Bata Pul-Matak Majri-Fatehpur-Pipliwala Via Misserwala, Mellion Km. 0/0 to 4/865 (SH Construction of 5/7 mtrs. Wide road, wire crates, eart",Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,09-Apr-2019 05:59 PM,10-Apr-2019 11:00 AM,techsummary_39971.pdf (1198.74 KB),Technical,Summary,Ajay Kumar Sharma,09-Apr-2019 05:55 PM,technical_39971.pdf,1.0,117855.0,Arya Construction company,10-Mar-2019 11:15 AM,Rejected-Technical,Not Qualified,09-Apr-2019 05:59 PM,1.0,118332.0,S.S. Associates,INR,"23,989,783",Finance,Summary,Ajay Kumar Sharma,03-Jul-2019 01:39 PM,finance_39971.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"5,000",EE Paonta Sahib,Paonta Sahib,Yes,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib District Sirmour HP,28-Feb-2019 04:30 PM,22-Mar-2019 11:30 AM,28-Feb-2019 05:00 PM,21-Mar-2019 05:00 PM,NA ,NA ,28-Feb-2019 05:00 PM,21-Mar-2019 05:00 PM,10-Apr-2019 11:00 AM,PWD,CB/Tender2018-19 13336-13385 dt 13.02.2019,2019_PWD_27953_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of and improvement /M/T andconstruction of drain sukhi ka Khala Pul road to Shamshanghat (Majra) Bata Pul-Matak Majri-Fatehpur-Pipliwala Via Misserwala, Mellion Km. 0/0 to 4/865 (SH Construction of 5/7 mtrs. Wide road, wire crates, eart","Construction of and improvement /M/T andconstruction of drain sukhi ka Khala Pul road to Shamshanghat (Majra) Bata Pul-Matak Majri-Fatehpur-Pipliwala Via Misserwala, Mellion Km. 0/0 to 4/865 (SH Construction of 5/7 mtrs. Wide road, wire crates, eart",Refer to tender document ,NA ,"2,33,39,884",Civil Works - Roads,NA ,Tender,120.0,120.0,PWD Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,postponed of opening date,Date,,1.0,DD - Demand Draft,"2,66,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118329.0,jagmohankhanduja,13-Mar-2019 12:31 PM,Rejected-Finance,L2,03-Jul-2019 01:46 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118188.0,M/s Lakshay Construction,21-Mar-2019 10:06 AM,Rejected-Finance,L3,03-Jul-2019 01:46 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,119411.0,Rashid Ali Civil Contractor,21-Mar-2019 11:41 AM,Rejected-Finance,L4,03-Jul-2019 01:46 PM,,,,,,,,,,,,AOC,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,119328.0,Shanti Flats Foundation PVT LTD,20-Mar-2019 05:14 PM,Rejected-Finance,L5,03-Jul-2019 01:46 PM,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,118332.0,S.S. Associates,13-Mar-2019 12:43 PM,Accepted-AOC,L1,03-Jul-2019 01:49 PM,,,,,,,,,,,,AOC,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
