Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,No. PWC-PW-GA/Tender/18-19 279816-015 dated 7.1.19,2019_PWD_27639_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,C/o Mini Secretriat at Killar Pangi distt Chamba,Other,,C/o Mini Secretriat at Killar Pangi distt Chamba,C/o Mini Secretriat at Killar Pangi distt Chamba,Please refer Tender documents. ,NA ,"4,94,18,026",Civil Works,NA ,Tender,120.0,1095.0,Killar,176323.0,NA ,NA ,NA ,"Executive Engineer, Killar Division HPPWD Killar",No ,No,"Executive Engineer, Killar Division HPPWD Killar","Executive Engineer, Killar Division HPPWD Killar ( Pangi)",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"5,26,700",No,fixed,,"Executive Engineer, Killar Division HPPWD Killar",Killar,20-Feb-2019 05:30 PM,05-Mar-2019 11:00 AM,20-Feb-2019 05:30 PM,05-Mar-2019 10:30 AM,NA ,NA ,20-Feb-2019 05:30 PM,05-Mar-2019 10:30 AM,11-Mar-2019 11:00 AM,1.0,DD - Demand Draft,"5,000","Executive Engineer, Killar Division HPPWD Killar",Killar,No,AOC,PWD,2019_PWD_27639_3,No. PWC-PW-GA/Tender/18-19 279816-015 dated 7.1.19,C/o Mini Secretriat at Killar Pangi distt Chamba,EE,Internal,"DAO, HDM, Supdt EE",Jeet Singh Thakur,08-Mar-2019 07:25 PM,11-Mar-2019 11:00 AM,techsummary_39390.pdf (358.91 KB),EE,Internal,DAO HDM SUPDT,Jeet Singh Thakur,26-Jul-2019 02:36 PM,finsummary_39390.pdf (15.93 KB),27-Jul-2019,"INR 129,168,787",1095.0,Rajeev Kumar,27-Jul-2019 09:16 AM,minisec.pdf (765.00 KB),AOC,1.0,116663.0,KDN Infrastructure Pvt. Ltd.,01-Mar-2019 06:28 PM,Rejected-AOC,Non responsive,27-Jul-2019 09:16 AM,Technical,C/o Mini Secretriat at Killar Pangi distt Chamba,Jeet Singh Thakur,08-Mar-2019 07:23 PM,technical_39390.pdf,1.0,115682.0,Satish Kumar Sharma,INR,"129,168,787",Finance,Bid opening Summary,Jeet Singh Thakur,26-Jul-2019 02:27 PM,finance_39390.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116901.0,RAJINDER KUMAR,04-Mar-2019 01:56 PM,Rejected-AOC,non responsive,27-Jul-2019 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115682.0,Satish Kumar Sharma,03-Mar-2019 11:44 AM,Accepted-AOC,responsive,27-Jul-2019 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
