Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,summary,Mahesh Kanwar,19-Nov-2018 04:33 PM,technical_34007.pdf,1.0,99500.0,shiv naresh sports pvt ltd,05-Nov-2018 02:13 PM,Rejected-Finance,Responsive,16-Jul-2019 03:04 PM,Finance,summary,Satish Chand,19-Nov-2018 04:52 PM,finance_34007.pdf,BOQ Comparative Chart,1.0,99720.0,Vijay Enterprises,INR,"2,686,117",Er Mahesh Kanwar,Internal,Lekh Ram Shandil HDM Satya Pal Sharma Supdt Leela Verma Sr Asstt,Mahesh Kanwar,16-Jul-2019 03:04 PM,finsummary_34007.pdf (306.42 KB),16-Jul-2019,"INR 1,354,185",90.0,Mahesh Kanwar,16-Jul-2019 03:06 PM,AOCd.pdf (652.00 KB),AOC,PWD,2018_PWD_24329_1,PW/THD/CB-tender-189698-9710 dt. 18.10.2018,C.O Govt. Degree College at Theog in distt. Shimla Himachal Pradesh SH C.O outdoor Synthetic basket ball court,Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Lekh Ram Shandil HDM Smt. Leela Verma Sr Asstt,Mahesh Kanwar,19-Nov-2018 04:36 PM,19-Nov-2018 04:40 PM,techsummary_34007.pdf (398.92 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,C.O Govt. Degree College at Theog in distt. Shimla Himachal Pradesh SH C.O outdoor Synthetic basket ball court,C.O Govt. Degree College at Theog in distt. Shimla Himachal Pradesh SH C.O outdoor Synthetic basket ball court,Similar Nature work ,NA ,"13,54,185",Civil Works - Others,NA ,Tender,90.0,90.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,"27,100",No,fixed,,Executive Engineer HP PWD Division Theog,HP PWD Division Theog,Executive Engineer,HP PWD Division Theog,PWD,PW/THD/CB-tender-189698-9710 dt. 18.10.2018,2018_PWD_24329_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,27-Oct-2018 04:00 PM,13-Nov-2018 11:00 AM,27-Oct-2018 04:00 PM,09-Nov-2018 06:00 PM,NA ,NA ,27-Oct-2018 04:00 PM,09-Nov-2018 06:00 PM,19-Nov-2018 04:40 PM,500.0,Executive Engineer HP PWD Division Theog,HP PWD Division Theog,No,AOC
,,,,,2.0,99720.0,Vijay Enterprises,08-Nov-2018 12:54 PM,Accepted-AOC,Responsive,16-Jul-2019 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,99817.0,VIVEK KANWAR,09-Nov-2018 05:05 PM,Rejected-Technical,Non Responsive,19-Nov-2018 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of EPF registration (refer Genral Rule No.25(A) .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
