Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,22-Jul-2019 01:11 PM,finsummary_33743.pdf (48.65 KB),22-Jul-2019,"INR 8,115,367",270.0,Subhash Chander,22-Jul-2019 01:12 PM,Award.pdf (396.00 KB),Award,PWD,2018_PWD_24146_1,4456-4505 dated 21-06-2018,C/O Additional Accommodation of science Block (Model-C) at Govt. Sr. Sec. School Lunj),Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,20-Nov-2018 02:27 PM,20-Nov-2018 02:30 PM,techsummary_33743.pdf (147.75 KB),Technical,Opened,Subhash Chander,20-Nov-2018 02:22 PM,technical_33743.pdf,1.0,99103.0,Harbhajan singh,30-Oct-2018 08:54 PM,Rejected-Technical,Non-Responsive,20-Nov-2018 02:27 PM,1.0,99190.0,Ravi Kumar,INR,"9,556,743",Finance,Opened,Subhash Chander,22-Jul-2019 01:08 PM,finance_33743.pdf,BOQ Comparative Chart,AOC,"2,000","Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,C/O Additional Accommodation of science Block (Model-C) at Govt. Sr. Sec. School Lunj),C/O Additional Accommodation of science Block (Model-C) at Govt. Sr. Sec. School Lunj),Please refer Tender documents. ,NA ,"81,15,367",Civil Works - Buildings,NA ,Tender,120.0,270.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,18-Oct-2018 10:00 AM,01-Nov-2018 11:30 AM,18-Oct-2018 10:00 AM,01-Nov-2018 11:00 AM,NA ,NA ,18-Oct-2018 10:00 AM,01-Nov-2018 11:00 AM,20-Nov-2018 02:30 PM,"1,13,700",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,DD - Demand Draft,PWD,4456-4505 dated 21-06-2018,2018_PWD_24146_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99190.0,Ravi Kumar,01-Nov-2018 09:55 AM,Accepted-AOC,Award,22-Jul-2019 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,99194.0,Sandeep Govt Contractor,01-Nov-2018 10:40 AM,Rejected-Finance,Rate quoted higher side of L1,22-Jul-2019 01:11 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,99191.0,SANJEEV KUMAR GOVT CONTRACTOR,01-Nov-2018 09:38 AM,Rejected-Finance,Rate quoted higher side of L1,22-Jul-2019 01:11 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No. 4 Schedule-D (e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Sale Tax/GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
