Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Stage
10-Jul-2019,"INR 1,493,891",30.0,Sanjiv Mahajan,10-Jul-2019 12:07 PM,Award.pdf (143.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sub Division Sh. S.K. Dayal Sr. DAO Kangra Sh. Beldev Ram Pathania Supdt. Sh. Ajay Mahajan HDM Kangra Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Sanjiv Mahajan,10-Jul-2019 12:06 PM,finsummary_35421.pdf (48.08 KB),Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO. Sh. Belder Ram Pathania Supdt. Sh. Ajay Mahajan HDM Sh. kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,28-Feb-2019 12:41 PM,28-Feb-2019 02:30 PM,techsummary_35421.pdf (132.53 KB),PWD,2018_PWD_25319_5,18879-18928 dated 28-11-2018,Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Roads (HP0413VR0057)(HP-04-111) Upgradation of Puhara to Jharer road (SH-P/L bituminous concrete in km. 0/0 to 2/000),Technical,Opened,Subhash Chander,28-Feb-2019 12:37 PM,technical_35421.pdf,1.0,106561.0,Navneet Thakur,05-Jan-2019 01:02 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jul-2019 12:06 PM,Finance,Opened,Sanjiv Mahajan,10-Jul-2019 12:04 PM,finance_35421.pdf,BOQ Comparative Chart,1.0,106956.0,Rakesh Mahajan Govt Contractor,INR,"1,686,903",AOC,13-Dec-2018 10:00 AM,07-Jan-2019 11:30 AM,13-Dec-2018 10:00 AM,07-Jan-2019 11:00 AM,NA ,NA ,13-Dec-2018 10:00 AM,07-Jan-2019 11:00 AM,28-Feb-2019 02:30 PM,"Executive Engineer, HP.PWD., Division, Kangra","xecutive Engineer, HP.PWD., Division, Kangra",500.0,"xecutive Engineer, HP.PWD., Division, Kangra","xecutive Engineer, HP.PWD., Division, Kangra",No,PWD,18879-18928 dated 28-11-2018,2018_PWD_25319_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,extended the date,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,"29,900",No,fixed,,"xecutive Engineer, HP.PWD., Division, Kangra","xecutive Engineer, HP.PWD., Division, Kangra",Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Roads (HP0413VR0057)(HP-04-111) Upgradation of Puhara to Jharer road (SH-P/L bituminous concrete in km. 0/0 to 2/000),Annual Maintenance Plan (AMP) of Shahpur Sub Division for the year 2018-19 additional kms. under PMGSY Roads (HP0413VR0057)(HP-04-111) Upgradation of Puhara to Jharer road (SH-P/L bituminous concrete in km. 0/0 to 2/000),Please refer Tender documents. ,NA ,"14,93,891",Civil Works - Roads,NA ,Tender,120.0,30.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,106933.0,pritam singh thkur,06-Jan-2019 03:02 PM,Rejected-Technical,Non-Responsive,28-Feb-2019 12:41 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,106956.0,Rakesh Mahajan Govt Contractor,06-Jan-2019 07:55 PM,Accepted-AOC,Award,10-Jul-2019 12:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,106894.0,VIRENDER PRASHAD SHARMA,06-Jan-2019 05:36 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jul-2019 12:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in schedule-F (Sr. No. 6.19)Refer clause-18,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale tax/GST Number (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
