Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Summary,Rattan Kumar Sharma,21-Jun-2019 11:08 AM,technical_42054.pdf,1.0,121998.0,Harish Thakur,19-Jun-2019 10:40 AM,Accepted-AOC,AOC,10-Jul-2019 11:36 AM,Finance,SUMMARY,Rattan Kumar Sharma,28-Jun-2019 12:58 PM,finance_42054.pdf,BOQ Comparative Chart,1.0,121998.0,Harish Thakur,INR,"289,125",Executive Engineer,Internal,TENDER ASSISTANT HDM DAO SUPERINTENDENT G-II,Rattan Kumar Sharma,10-Jul-2019 11:34 AM,finsummary_42054.pdf (309.71 KB),10-Jul-2019,"INR 307,717",90.0,Rattan Kumar Sharma,10-Jul-2019 11:36 AM,04.pdf (1009.00 KB),AOC,PWD,2019_PWD_29013_4,941-71 DATED 28.05.2019,Restoration of rain damages on Various roads under Haripurdhar Sub Division HPPWD Haripurdhar,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,22-Jun-2019 01:30 PM,22-Jun-2019 01:35 PM,techsummary_42054.pdf (400.84 KB),AOC,Restoration of rain damages on Various roads under Haripurdhar Sub Division HPPWD Haripurdhar,Hiring of JCB for removal of slips,Please refer Tender documents. ,NA ,"3,07,717",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","6,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,PWD,941-71 DATED 28.05.2019,2019_PWD_29013_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Jun-2019 04:30 PM,20-Jun-2019 02:00 PM,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,NA ,NA ,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,22-Jun-2019 01:35 PM,1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,AOC
,,,,,2.0,122034.0,Joginder Singh,19-Jun-2019 02:13 PM,Rejected-Finance,NOT THE LOWEST BIDDER,10-Jul-2019 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
