Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er Ravi Bhatti,Internal,Sh paramjit singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,14-Mar-2019 04:54 PM,finsummary_39868.pdf (56.27 KB),02-Jul-2019,"INR 1,644,145",60.0,Satish Kumar,02-Jul-2019 03:23 PM,18.pdf (364.00 KB),Award Letter,PWD,2019_PWD_27916_1,No/PW/Ksli/CB-14355-65 dt 5/2/19,AMP for the year 2019-20 for Chandi Goela Dhakrayana road and Banlgi chandi Bhat Ki Hatti road,Er Ravi Bhatti,Internal,Sh paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,14-Mar-2019 04:19 PM,14-Mar-2019 04:20 PM,techsummary_39868.pdf (62.11 KB),Technical,Bid Opening Summary,Ravi Bhatti,14-Mar-2019 04:13 PM,technical_39868.pdf,1.0,118364.0,Asphalt Carpet Construction Company,13-Mar-2019 01:50 PM,Accepted-AOC,lowest tender,02-Jul-2019 03:23 PM,1.0,118364.0,Asphalt Carpet Construction Company,INR,"1,995,447",Finance,Financial opening Summaryy,Ravi Bhatti,14-Mar-2019 04:53 PM,finance_39868.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),27-Feb-2019 03:00 PM,14-Mar-2019 11:00 AM,27-Feb-2019 04:00 PM,13-Mar-2019 05:00 PM,NA ,NA ,27-Feb-2019 04:00 PM,13-Mar-2019 05:00 PM,14-Mar-2019 04:20 PM,1.0,DD - Demand Draft,"32,200",No,fixed,,EE HPPWD Kasauli,Kasauli,EE HPPWD Kasauli,EE HPPWD Kasauli,PWD,No/PW/Ksli/CB-14355-65 dt 5/2/19,2019_PWD_27916_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EEHPPWD Kasauli,Kasauli,Yes,AMP for the year 2019-20 for Chandi Goela Dhakrayana road and Banlgi chandi Bhat Ki Hatti road,AMP for the year 2019-20 for Chandi Goela Dhakyarana road and Balgi chandi Bhat Ki Hatti road (MRL) SH P/L renewal coat by Providing Bitumenious concrete in km 4/0 to 5/0 and 6/0 to 7/0 respectively,Please refer Tender documents. ,NA ,"16,44,145",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,EE HPPWD Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118382.0,Ravinder Kumar Gupta,13-Mar-2019 02:36 PM,Rejected-AOC,not lowest,02-Jul-2019 03:23 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
