Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,941-71 DATED 28.05.2019,2019_PWD_29013_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Jun-2019 04:30 PM,20-Jun-2019 02:00 PM,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,NA ,NA ,06-Jun-2019 05:00 PM,19-Jun-2019 05:00 PM,22-Jun-2019 01:30 PM,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,Restoration of rain damages on Various roads under Renuka Sub Division HPPWD Renuka,Hiring of JCB for removal of slips,Please refer Tender documents. ,NA ,"3,07,717",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,"6,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,AOC,1.0,121808.0,HARI CHAND THAKUR,17-Jun-2019 09:19 PM,Rejected-Finance,NOT THE LOWEST BIDDER,10-Jul-2019 11:39 AM,Technical,Summary,Rattan Kumar Sharma,21-Jun-2019 10:42 AM,technical_42052.pdf,1.0,121740.0,Khajan Singh,INR,"286,497",Finance,SUMMARY,Rattan Kumar Sharma,28-Jun-2019 01:04 PM,finance_42052.pdf,BOQ Comparative Chart,PWD,2019_PWD_29013_3,941-71 DATED 28.05.2019,Restoration of rain damages on Various roads under Renuka Sub Division HPPWD Renuka,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,22-Jun-2019 01:29 PM,22-Jun-2019 01:30 PM,techsummary_42052.pdf (300.47 KB),Executive Engineer,Internal,TENDER ASSISTANT HDM DAO SUPERINTENDENT G-II,Rattan Kumar Sharma,10-Jul-2019 11:39 AM,finsummary_42052.pdf (309.05 KB),10-Jul-2019,"INR 309,291",90.0,Rattan Kumar Sharma,10-Jul-2019 11:41 AM,05.pdf (1154.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,2.0,121740.0,Khajan Singh,18-Jun-2019 10:52 AM,Accepted-AOC,AOC,10-Jul-2019 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,122052.0,Vijender Singh,19-Jun-2019 03:10 PM,Rejected-Technical,Not Qualified,22-Jun-2019 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
