Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
18-Jul-2019,"INR 1,180,688",60.0,Sanjiv Kumar,18-Jul-2019 03:37 PM,mandirmahanka.pdf (262.00 KB),Financial open successfully,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,26-Apr-2019 10:41 AM,finsummary_39766.pdf (160.57 KB),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,15-Mar-2019 11:31 AM,16-Mar-2019 11:00 AM,techsummary_39766.pdf (518.11 KB),PWD,2019_PWD_27856_1,PWD-BD-NIT-2018-19-19371-19420,Construction of Shamshan Ghat at Mahankal in Tehsil Baijnath Distt. Kangra H.P.,Finance,Financial Bid of the said work open on 16.3.2019 successfully.,Sanjiv Kumar,26-Apr-2019 10:40 AM,finance_39766.pdf,BOQ Comparative Chart,1.0,117148.0,Anil Katoch,INR,"1,608,170",Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,15-Mar-2019 11:26 AM,technical_39766.pdf,1.0,117148.0,Anil Katoch,05-Mar-2019 01:14 PM,Accepted-AOC,Lower Side,18-Jul-2019 03:37 PM,AOC,PWD,PWD-BD-NIT-2018-19-19371-19420,2019_PWD_27856_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Baijnath Division,EE Baijnath Division,25-Feb-2019 06:00 PM,11-Mar-2019 11:00 AM,25-Feb-2019 06:00 PM,11-Mar-2019 10:30 AM,NA ,NA ,25-Feb-2019 06:00 PM,11-Mar-2019 10:30 AM,16-Mar-2019 11:00 AM,"23,700",No,fixed,,EE Baijanth,Baijnath,500.0,EE Baijnath,Baijnath,No,1.0,DD - Demand Draft,Construction of Shamshan Ghat at Mahankal in Tehsil Baijnath Distt. Kangra H.P.,C/O 3 No. Rectangular Type and 2 No. Octagonal Type rain shelter.),Please refer Tender documents. ,NA ,"11,80,688",Civil Works - Buildings,NA ,Tender,90.0,60.0,Baijanth,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117219.0,Shalabh Awasthi,05-Mar-2019 04:43 PM,Rejected-Finance,Higher Side,26-Apr-2019 10:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per mentioned in the SBD,AOC
