S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,92459.0,Shiv Drillers,INR,"2,446,220","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",2018_HPIPH_22686_1,8614-63 dt. 02.08.2018,Providing and installation of 424 Nos India Mark III 65mm and Mark II 32mm deep well hand pumps in different Division under MZ Mandi of Himachal Pradesh SH Drilling by DTH or ODEX percussion Calyx RC portable rigs TRIBAL NON TRIBAL AREA,Er Naveen Puri CEMZ,Internal,Er Chater Singh SED Er Satya Sharma EED,Arun Kumar Sharma,19-Jun-2019 10:37 AM,finsummary_31853.pdf (732.94 KB),19-Jun-2019,"INR 96,856,898",365.0,Arun Kumar Sharma,19-Jun-2019 11:39 AM,Handaward.pdf (144.00 KB),Estimated cost,Finance,Nine no bidder are submit the bid,Arun Kumar Sharma,19-Jun-2019 10:29 AM,finance_31853.pdf,BOQ Comparative Chart,Technical,9 Nos. bidder/firm out of 15 Nos. bidder/firm found eligible to open the financial bid as the approval received form CE(MZ) IPH Department Mandi,Arun Kumar Sharma,20-Oct-2018 02:14 PM,technical_31853.pdf,Er. Naveen Puri,Internal,Chatter Singh Thakur SE(D) Sunil Kumar Kanotra SE SNR RK Saini EE (D) Arun Kumar Sharma EE MND Lalita Kumari AE (D) Dinesh Kumar F A Kishori Lal PO,Arun Kumar Sharma,20-Oct-2018 02:35 PM,20-Oct-2018 02:40 PM,techsummary_31853.pdf (366.78 KB),1,91981,Ashish Kanwar,16-Aug-2018 01:12 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,02-Aug-2018 05:00 PM,23-Aug-2018 11:30 AM,02-Aug-2018 05:00 PM,22-Aug-2018 05:00 PM,NA ,NA ,02-Aug-2018 05:00 PM,22-Aug-2018 05:00 PM,20-Oct-2018 02:40 PM,Providing and installation of 424 Nos India Mark III 65mm and Mark II 32mm deep well hand pumps in different Division under MZ Mandi of Himachal Pradesh SH Drilling by DTH or ODEX percussion Calyx RC portable rigs TRIBAL NON TRIBAL AREA,Providing and installation of 424 Nos India Mark III 65mm and Mark II 32mm deep well hand pumps in different Division under MZ Mandi of Himachal Pradesh SH Drilling by DTH or ODEX percussion Calyx RC portable rigs TRIBAL NON TRIBAL AREA,Please refer Tender documents. ,NA ,"9,68,56,898",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,120.0,365.0,TARNA HILL MANDI,175001.0,NA ,NA ,NA ,IPH DIVISION MANDI,No ,No,"2,500",EE MANDI,MANDI,No,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",8614-63 dt. 02.08.2018,2018_HPIPH_22686_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"50,000",Yes,fixed,,EE MANDI,MANDI,EXECUTIVE ENGINEER,IPH DIVISION MANDI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,92289,Chauhan Borewell,20-Aug-2018 08:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,,,.pdf,earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,92442,Desh Raj Sharma,21-Aug-2018 08:05 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,.pdf,Copy of Registration/Enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,90809,Kamlesh,21-Aug-2018 02:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,,,.pdf,GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,92171,Mohinder Kumar Gupta,18-Aug-2018 08:20 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,.pdf,EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,92272,M/S Hari Om Drillers,20-Aug-2018 05:45 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,.pdf,Last Income tax return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,92336,M/S Him Ganga Boring,22-Aug-2018 11:35 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,92302,M/S Sidharth Bore Well,21-Aug-2018 07:28 AM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,92294,R.B. Drillers,22-Aug-2018 01:26 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,92192,R B SALES - (INDIA),19-Aug-2018 06:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,92156,Shankar Borewells and Engineers,18-Aug-2018 03:31 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,92306,shivalikborewell,21-Aug-2018 09:10 AM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,92459,Shiv Drillers,22-Aug-2018 02:32 PM,Accepted-AOC,Being Lowest bidder,19-Jun-2019 11:39 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,91943,sunandhard,16-Aug-2018 11:03 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Oct-2018 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,92187,Super Drillers,19-Aug-2018 06:47 PM,Rejected-Finance,Other than lowest,19-Jun-2019 10:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
