Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,23928-77 dated 19-01-2019,2019_PWD_26362_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,31-Jan-2019 10:00 AM,15-Feb-2019 11:30 AM,31-Jan-2019 10:00 AM,15-Feb-2019 11:00 AM,NA ,NA ,31-Jan-2019 10:00 AM,15-Feb-2019 11:00 AM,01-Mar-2019 04:30 PM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,Balance work Mastpur Kalandher Patola Gang Bharoon Ichhi Road km. 0/0 to 2/820 under NABARD RIDF-XXIV in Distt. Kangra (HP),SH- C/O Retaining wall Cross drainage work Tarring work side drain and parapets,Please refer Tender documents. ,NA ,"57,73,880",Civil Works - Roads,NA ,Tender,120.0,365.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"2,000","Executive Engineer, HP.PWD., Division, Kangra",Kangra,No,"90,250",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra",Kangra,AOC,1.0,112828.0,Kulwant Kumar,14-Feb-2019 04:15 PM,Rejected-Finance,Rate quoted higher side of L1,28-Jun-2019 01:17 PM,Technical,Opened,Subhash Chander,01-Mar-2019 04:20 PM,technical_37257.pdf,Finance,Opened,Sanjiv Mahajan,28-Jun-2019 01:06 PM,finance_37257.pdf,BOQ Comparative Chart,1.0,112766.0,Rakesh verma,INR,"5,949,696",Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,01-Mar-2019 04:27 PM,01-Mar-2019 04:30 PM,techsummary_37257.pdf (121.88 KB),PWD,2019_PWD_26362_1,23928-77 dated 19-01-2019,Balance work Mastpur Kalandher Patola Gang Bharoon Ichhi Road km. 0/0 to 2/820 under NABARD RIDF-XXIV in Distt. Kangra (HP),28-Jun-2019,"INR 5,773,880",365.0,Sanjiv Mahajan,28-Jun-2019 01:19 PM,Award.pdf (177.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Sanjiv Mahajan,28-Jun-2019 01:17 PM,finsummary_37257.pdf (50.34 KB),AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,112460.0,pritam singh thkur,14-Feb-2019 02:16 PM,Rejected-Finance,Rate quoted higher side of L1,28-Jun-2019 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,112766.0,Rakesh verma,14-Feb-2019 10:08 PM,Accepted-AOC,Award,28-Jun-2019 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,112747.0,yashpal sharma,14-Feb-2019 12:52 PM,Rejected-Finance,Rate quoted higher side of L1,28-Jun-2019 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
