Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,10-Jun-2019 04:23 PM,finsummary_38587.pdf (112.69 KB),10-Jun-2019,"INR 531,508",30.0,Ram Saroop Kalia,10-Jun-2019 04:24 PM,27113.pdf (113.00 KB),Award letter,PWD,2019_PWD_27113_1,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,R.R.D On Dumkhar Sohari Takoli road km 6000 to 20000 SH CO RWall in km 8650 to 8680,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,02-Mar-2019 02:06 PM,02-Mar-2019 04:00 PM,techsummary_38587.pdf (103.41 KB),Finance,bidopeningsummary,Ram Saroop Kalia,10-Jun-2019 04:21 PM,None,BOQ Comparative Chart,1.0,113200.0,Salochna Devi Govt Contractor,INR,"566,995",Technical,bidopeningsummary,Ram Saroop Kalia,02-Mar-2019 02:04 PM,None,1.0,113115.0,balwinder singh,16-Feb-2019 08:53 AM,Rejected-Finance,Reject due to higher side from L-1,10-Jun-2019 04:23 PM,AOC,PWD,PW/BGN/CB/T-I/2018-19-16450-62 dt 24.01.2019,2019_PWD_27113_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,11-Feb-2019 05:00 PM,18-Feb-2019 11:30 AM,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,16-Feb-2019 05:00 PM,02-Mar-2019 04:00 PM,1.0,DD - Demand Draft,R.R.D On Dumkhar Sohari Takoli road km 6000 to 20000 SH CO RWall in km 8650 to 8680,R.R.D On Dumkhar Sohari Takoli road km 6000 to 20000 SH CO RWall in km 8650 to 8680,Please refer Tender documents. ,NA ,"5,31,508",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"10,700",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113119.0,Bhusan Kumar Govt Contractor,16-Feb-2019 10:42 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2019 02:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113195.0,PUSHPINDER SINGH,16-Feb-2019 04:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2019 02:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,113200.0,Salochna Devi Govt Contractor,16-Feb-2019 04:26 PM,Accepted-AOC,Accept due to L-1,10-Jun-2019 04:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,AOC
