Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,PW.THD/CB-tender2017-14714-28 dt. 2.2.2018,2018_PWD_19594_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,83,700",No,fixed,,Executive Engineer HP PWD Theog,HP PWD Division Theog,C.O Govt. Sr. Sec. School Building at Nahol in,C.O Govt. Sr. Sec. School Building at Nahol in Tehsil Theog Distt. Shimla SH C.O building portion W.S and S.I septic tank Rain water harvesting tank and site development etc,Please refer Tender documents. ,NA ,"1,51,11,523",Civil Works - Buildings,NA ,Tender,90.0,540.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Theog Division,No ,No,1.0,DD - Demand Draft,Executive Engineer,HP PWD Theog,"5,000",Executive Engineer HP PWD Theog,HP PWD Division Theog,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),20-Feb-2018 04:00 PM,05-Mar-2018 11:00 AM,20-Feb-2018 04:00 PM,03-Mar-2018 06:00 PM,NA ,NA ,20-Feb-2018 04:00 PM,03-Mar-2018 06:00 PM,10-Mar-2018 11:00 AM,AOC,1.0,77975.0,Kuldeep Verma,INR,"19,071,594",Finance,Summary,Mahesh Kanwar,12-Mar-2018 11:40 AM,finance_27427.pdf,BOQ Comparative Chart,1.0,77975.0,Kuldeep Verma,03-Mar-2018 11:07 AM,Accepted-AOC,Responsive,13-Jun-2019 04:41 PM,Technical,summary,Satish Chand,06-Mar-2018 12:34 PM,technical_27427.pdf,Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Madan Lal Dogra Supdt Lekh Ram Shandil HDM,Mahesh Kanwar,07-Mar-2018 04:30 PM,10-Mar-2018 11:00 AM,techsummary_27427.pdf (334.85 KB),PWD,2018_PWD_19594_1,PW.THD/CB-tender2017-14714-28 dt. 2.2.2018,C.O Govt. Sr. Sec. School Building at Nahol in,13-Jun-2019,"INR 15,111,523",540.0,Satish Chand,13-Jun-2019 04:41 PM,AOCNahol.pdf (956.00 KB),AOC,Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Madan Lal Dogra Supdt Lekh Ram Shandil HDM,Satish Chand,13-Jun-2019 04:36 PM,finsummary_27427.pdf (257.99 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a And 28.2b,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done As Per General Rule 19,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand As Per General Rule 19,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
