S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,92529.0,VIRENDER PRASHAD SHARMA,INR,"9,997,968",Finance,Opened,Subhash Chander,07-Jun-2019 03:24 PM,finance_31897.pdf,BOQ Comparative Chart,Technical,Opened,Subhash Chander,27-Sep-2018 02:58 PM,technical_31897.pdf,1.0,92561.0,Cantilever Constructions Pvt Ltd.,23-Aug-2018 10:30 AM,Rejected-Technical,Non-Responsive,27-Sep-2018 03:02 PM,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal SR. DAO Sh. Beldev Ram Pathania Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Subhash Chander,07-Jun-2019 03:30 PM,finsummary_31897.pdf (46.04 KB),07-Jun-2019,"INR 8,461,738",365.0,Subhash Chander,07-Jun-2019 03:34 PM,Award.pdf (241.00 KB),Award,PWD,2018_PWD_22727_1,8800-49 dated 02-08-2018,C/O 50.00 mtr. span C/C of Bearing PSC Box Girder Bridge Over Brahal Khad on Morch Gharghuin Road km. 1/726 alongwith approaches under NABARD RIDF-XVIII (SH- C/O Sub Structure Super Structure and approaches),Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal SR. DAO Sh. Beldev Ram Pathania Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar T.A.,Subhash Chander,27-Sep-2018 03:02 PM,27-Sep-2018 03:05 PM,techsummary_31897.pdf (127.82 KB),AOC,"1,17,100",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",09-Aug-2018 10:00 AM,23-Aug-2018 11:30 AM,09-Aug-2018 10:00 AM,23-Aug-2018 11:00 AM,NA ,NA ,09-Aug-2018 10:00 AM,23-Aug-2018 11:00 AM,27-Sep-2018 03:05 PM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",PWD,8800-49 dated 02-08-2018,2018_PWD_22727_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,"2,000","Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,1.0,DD - Demand Draft,C/O 50.00 mtr. span C/C of Bearing PSC Box Girder Bridge Over Brahal Khad on Morch Gharghuin Road km. 1/726 alongwith approaches under NABARD RIDF-XVIII (SH- C/O Sub Structure Super Structure and approaches),C/O 50.00 mtr. span C/C of Bearing PSC Box Girder Bridge Over Brahal Khad on Morch Gharghuin Road km. 1/726 alongwith approaches under NABARD RIDF-XVIII (SH- C/O Sub Structure Super Structure and approaches),Please refer Tender documents. ,NA ,"84,61,738",Civil Works - Bridges,NA ,Tender,120.0,365.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,92529.0,VIRENDER PRASHAD SHARMA,22-Aug-2018 04:36 PM,Accepted-AOC,Award,07-Jun-2019 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool plant shown in Schedule-F(Sr. No. 6.19)(Refer clause-18),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax/GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,AOC
