Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
12-Jun-2019,"INR 2,323,337",60.0,Sanjiv Kumar,12-Jun-2019 01:31 PM,Arthbehu.pdf (373.00 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,24-Apr-2019 11:43 AM,finsummary_38585.pdf (179.14 KB),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,28-Feb-2019 04:55 PM,02-Mar-2019 11:00 AM,techsummary_38585.pdf (277.46 KB),PWD,2019_PWD_27112_1,PWD-BD-NIT-2018-19-18570-640,Periodic Maintenance Arth to Behru Road DRRP No. HP--VR0025 (Under AMP 2019-20 Village Road),Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,28-Feb-2019 04:53 PM,technical_38585.pdf,1.0,115108.0,G.P.ACHARYA,24-Feb-2019 09:39 PM,Accepted-AOC,Lower Side,12-Jun-2019 01:31 PM,Finance,Financial Bid of the said work open on 2.3.2019 successfully,Sanjiv Kumar,24-Apr-2019 11:41 AM,finance_38585.pdf,BOQ Comparative Chart,1.0,115108.0,G.P.ACHARYA,INR,"2,995,261",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,11-Feb-2019 02:00 PM,25-Feb-2019 11:00 AM,11-Feb-2019 02:00 PM,25-Feb-2019 10:30 AM,NA ,NA ,11-Feb-2019 02:00 PM,25-Feb-2019 10:30 AM,02-Mar-2019 11:00 AM,1.0,DD - Demand Draft,"42,400",No,fixed,,EE Baijnath,Baijnath,EE HPPWD Division Baijnath,EE HPPWD Division Baijnath,PWD,PWD-BD-NIT-2018-19-18570-640,2019_PWD_27112_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,NIT Amounat and RD change,Other,,Periodic Maintenance Arth to Behru Road DRRP No. HP--VR0025 (Under AMP 2019-20 Village Road),"Providing and Laying built up spray grout single layer tack coat and Bituminous concrete at Km 0/0 to 1/0, 3/0 to 4/0 and 5/0 to 6/015).",Please refer Tender documents. ,NA ,"23,23,337",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Baijanth Division,No ,No,350.0,EE Baijnath,Baijnath,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115015.0,Kulvinder,24-Feb-2019 03:02 PM,Rejected-Finance,Higher Side,24-Apr-2019 11:43 AM,,,,,,,,,,,,AOC,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum work done as indicated in SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
