Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PWD-BD-NIT-2018-19-18570-640,2019_PWD_27094_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic Maintenance link road to village Gurehar DRRP No. HP411VR0086 (Under AMP 2019-20 PMGSY Road),Providing and Laying built up spray grout single layer tack coat and Bituminous concrete at Km 0/0 to 1/500 and 1/600 to 2/0,Please refer Tender documents. ,NA ,"13,18,848",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,11-Feb-2019 10:00 AM,25-Feb-2019 11:00 AM,11-Feb-2019 10:00 AM,25-Feb-2019 10:30 AM,NA ,NA ,11-Feb-2019 10:00 AM,25-Feb-2019 10:30 AM,02-Mar-2019 11:00 AM,"27,800",No,fixed,,EE Baijnath,Baijnath,350.0,EE Baijnath,Baijnath,No,1.0,NIT Amount Change,Other,,EE HPPWD Division Baijnath,EE HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,1.0,DD - Demand Draft,AOC,PWD,2019_PWD_27094_1,PWD-BD-NIT-2018-19-18570-640,Periodic Maintenance link road to village Gurehar DRRP No. HP411VR0086 (Under AMP 2019-20 PMGSY Road),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,28-Feb-2019 04:44 PM,02-Mar-2019 11:00 AM,techsummary_38569.pdf (274.01 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,24-Apr-2019 03:05 PM,finsummary_38569.pdf (168.76 KB),12-Jun-2019,"INR 1,318,848",60.0,Sanjiv Kumar,12-Jun-2019 01:29 PM,Gurehar.pdf (418.00 KB),1.0,115061.0,P. L. SHARMA,INR,"1,733,596",Finance,Financial Bid of the said work open on 2.3.2019 successfully.,Sanjiv Kumar,24-Apr-2019 03:03 PM,finance_38569.pdf,BOQ Comparative Chart,1.0,115065.0,G.P.ACHARYA,24-Feb-2019 06:57 PM,Rejected-Finance,Higher Side,24-Apr-2019 03:05 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,28-Feb-2019 04:43 PM,technical_38569.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115061.0,P. L. SHARMA,24-Feb-2019 06:47 PM,Accepted-AOC,Lower Side,12-Jun-2019 01:29 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done as indicated in SBD.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
