Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Sum,Suresh Kumar Walia,21-Feb-2019 11:45 AM,technical_36764.pdf,1.0,111271.0,ANIT KUMAR SHARMA,06-Feb-2019 04:41 PM,Rejected-Technical,Not fulfill criteria,21-Feb-2019 11:50 AM,Dr Suresh Kumar Walia,Internal,Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Kartar Chand Supdt Gr II Account Vijay Sharma HDM,Suresh Kumar Walia,21-Feb-2019 11:50 AM,21-Feb-2019 02:00 PM,techsummary_36764.pdf (673.22 KB),PWD,2019_PWD_26098_1,PWD Civil-8845-65-Tanda,Periodic maintenance of Chhughera to Kanda road Km 0/000 to 4/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR0073) in Distt. Kangra (H.P.),AOC,Periodic maintenance of Chhughera to Kanda road Km 0/000 to 4/000 under Annual Maintenance Plan for the year 2019-20 (HP0408VR0073) in Distt. Kangra (H.P.),Providing and laying 20mm thick premix carpet and seal coat laying with mixall complete in Km 2/000 to 3/000,Please refer Tender documents. ,NA ,"5,58,197",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,EE Tanda at Nagrota Bagwan,No ,No,PWD,PWD Civil-8845-65-Tanda,2019_PWD_26098_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"11,170",No,fixed,,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,350.0,Executive Engineer HPPWD Division,Tanda at Nagrota Bagwan,No,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Tanda at Nagrota Bagwan,22-Jan-2019 05:00 PM,07-Feb-2019 11:30 AM,22-Jan-2019 05:00 PM,06-Feb-2019 05:00 PM,NA ,NA ,22-Jan-2019 05:00 PM,06-Feb-2019 05:00 PM,21-Feb-2019 02:00 PM,AOC
,,,,,2.0,110857.0,Atul Rana,05-Feb-2019 01:59 PM,Rejected-AOC,L3,21-Jun-2019 11:47 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC
,,,,,3.0,110749.0,Puneet Khosla,05-Feb-2019 08:09 AM,Rejected-AOC,L2,21-Jun-2019 11:47 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,109308.0,Rahul,05-Feb-2019 08:43 AM,Accepted-AOC,L1,21-Jun-2019 11:47 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,110431.0,VIRENDER PRASHAD SHARMA,03-Feb-2019 02:23 PM,Rejected-Technical,Not fulfill criteria,21-Feb-2019 11:50 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit true information,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
