Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,BOS,Jitender Kumar,15-Nov-2018 03:08 PM,technical_33192.pdf,Finance,FOS,Jitender Kumar,15-Nov-2018 03:38 PM,finance_33192.pdf,BOQ Comparative Chart,20-Jun-2019,"INR 3,724,315",180.0,Jitender Kumar,20-Jun-2019 06:23 PM,AOC.pdf (41.00 KB),AOC,1.0,96996.0,AEC AUTO MISION,07-Oct-2018 07:27 PM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,EE IPH Division Barsar,Internal,Supdtt. Gr-II HDM and Sr. DAO,Jitender Kumar,15-Nov-2018 03:23 PM,15-Nov-2018 03:25 PM,techsummary_33192.pdf (38.68 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",2018_HPIPH_23754_1,No EE.IPH-IDB-CB-TA-NIT 2018-19- 11129-111,Remodeling of FIS Badher in Tehsil Bhoranj Distt. Hamirpur SH CO Check Dam on chainth Khad 40 meters long Repair of existing Kuhl Construction of outlets Katcha and Pucca Filed channel and Providing and lying of HDPE pipe distribution system,1.0,96854.0,Ajay Kumar,INR,"3,939,342.8",EE IPH Division Barsar,Internal,Sh. Shushil Kumar Sr. Assistant Supdtt. Gr-II HDM IPH Division Barsar,Jitender Kumar,20-Jun-2019 06:20 PM,finsummary_33192.pdf (44.31 KB),AOC,400.0,Engineer IPH Division Barsar.,Executive Engineer IPH Division Barsar.,Yes,1.0,SS - Small Savings Instrument,25-Sep-2018 10:00 AM,08-Oct-2018 03:00 PM,25-Sep-2018 10:00 AM,08-Oct-2018 11:00 AM,25-Sep-2018 10:00 AM ,25-Sep-2018 10:00 AM ,25-Sep-2018 10:00 AM,08-Oct-2018 11:00 AM,15-Nov-2018 03:25 PM,Executive Engineer IPH Division Barsar.,Executive Engineer IPH Division Barsar Tehsil Barsar Distt. Hamirpur,"63,365",Yes,fixed,,EE IPH Division Barsar,EE IPH Division Barsar,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",No EE.IPH-IDB-CB-TA-NIT 2018-19- 11129-111,2018_HPIPH_23754_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Remodeling of FIS Badher in Tehsil Bhoranj Distt. Hamirpur SH CO Check Dam on chainth Khad 40 meters long Repair of existing Kuhl Construction of outlets Katcha and Pucca Filed channel and Providing and lying of HDPE pipe distribution system,Remodeling of FIS Badher in Tehsil Bhoranj Distt. Hamirpur SH CO Check Dam on chainth Khad 40 meters long Repair of existing Kuhl Construction of outlets Katcha and Pucca Filed channel and Providing and lying of HDPE pipe distribution system,Please refer Tender documents. ,NA ,"37,24,315",Civil Works,NA ,Tender,120.0,180.0,IPH Sub Division Bhoranj,174305.0,NA ,NA ,NA ,EE IPH Division Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Certificate of registration with IPH Department in appropriate class and latest renewal thereof.,AOC
,,,,,,,,,,,,,,,,,,2.0,96854.0,Ajay Kumar,08-Oct-2018 09:21 AM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,2.0,96891.0,M/s.Pawan Kumar Sharma,INR,"4,534,701",,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The scanned copy of required EMD Rs. 63365.00 be uploaded in e-tendering site or certificate of exem,AOC
,,,,,,,,,,,,,,,,,,3.0,96473.0,A K Infratech,06-Oct-2018 04:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2018 03:08 PM,,,,,,,,,,,,3.0,96899.0,Rama Shankaer,INR,"3,624,429",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of T form Rs 400.00 deposited through e-challan on Head of Account 0215-01-104-02 Code No 739,AOC
,,,,,,,,,,,,,,,,,,4.0,97072.0,ASHISH SHARMA,08-Oct-2018 10:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2018 03:08 PM,,,,,,,,,,,,4.0,96963.0,VINAY KUMAR SHARDA,INR,"3,949,917.86",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of challan be uploaded on e -tendering site,AOC
,,,,,,,,,,,,,,,,,,5.0,97041.0,DINESH KUMAR SHARMA,08-Oct-2018 10:04 AM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,5.0,96996.0,AEC AUTO MISION,INR,"3,894,788.75",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking deposit specific amount of EMD as per the present practice if the work is awarded,AOC
,,,,,,,,,,,,,,,,,,6.0,96891.0,M/s.Pawan Kumar Sharma,05-Oct-2018 10:04 PM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,6.0,97003.0,Sharma Technotec,INR,"4,112,851.9",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Scanned copy of Valid EPF registration Number.,AOC
,,,,,,,,,,,,,,,,,,7.0,96899.0,Rama Shankaer,08-Oct-2018 09:52 AM,Accepted-AOC,Accepted awarded,20-Jun-2019 06:23 PM,,,,,,,,,,,,7.0,97041.0,DINESH KUMAR SHARMA,INR,"3,917,515",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Scanned copy of registration under HP GST Act 2017,AOC
,,,,,,,,,,,,,,,,,,8.0,97003.0,Sharma Technotec,07-Oct-2018 02:36 PM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,8.0,97074.0,yashvir sing patial,INR,"38,138,738.5",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,cleared all the dues on account of GST income tax at the time of opening of tenders a Scand copy b,AOC
,,,,,,,,,,,,,,,,,,9.0,96963.0,VINAY KUMAR SHARDA,06-Oct-2018 06:01 PM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,A scanned copy of undertaking I have carefully studied the special T and C before quoting the rate,AOC
,,,,,,,,,,,,,,,,,,10.0,97074.0,yashvir sing patial,08-Oct-2018 10:42 AM,Accepted-AOC,Accepted,20-Jun-2019 06:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking that I have visited the site of work before quoting the rates,AOC
