Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Financial Bid Opening Summary,Rajeev Kumar Mahajan,18-Jul-2017 01:32 PM,finance_23055.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,18-Jul-2017 10:47 AM,technical_23055.pdf,14-Jun-2019,"INR 1,209,750",1095.0,Mandeep Gupta,14-Jun-2019 03:03 PM,AOC.pdf (640.00 KB),Award,Er. Rajeev Kumar Executive Engineer,Internal,Supdt HDM DAO Tender Asstt,Rajeev Kumar Mahajan,18-Jul-2017 11:00 AM,18-Jul-2017 11:05 AM,techsummary_23055.pdf (58.34 KB),1.0,63379.0,Basti Ram,09-Jul-2017 01:22 PM,Accepted-AOC,AOC,14-Jun-2019 03:03 PM,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_16972_2,IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan section Kheri and Moginand in Tehsil Nahan Distt Sirmour HP,1.0,63379.0,Basti Ram,INR,"1,304,000",Er.,Internal,HDM AEN TA EE,Mandeep Gupta,14-Jun-2019 03:01 PM,finsummary_23055.pdf (639.98 KB),AOC,1.0,DD - Demand Draft,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan section Kheri and Moginand in Tehsil Nahan Distt Sirmour HP,Above,Please refer Tender documents. ,NA ,"12,09,750",Pumps/Motors,Annual Maintenance ,Tender,120.0,1095.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,23-Jun-2017 05:00 PM,11-Jul-2017 11:30 AM,23-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,NA ,NA ,23-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,18-Jul-2017 11:05 AM,"24,195",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,2017_HPIPH_16972_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,400.0,Executive Engineer IPH Division Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,63365.0,Sandeep Rathaur-M/s. Sandeep Rathaur,09-Jul-2017 08:21 PM,Rejected-Finance,Rejected,14-Jun-2019 03:01 PM,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH deptt. in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax iTIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work or certificate of machenical workshop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour HP Rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
