S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
1.0,118778.0,REVOLUTION,INR,"981,545",Finance,as per uploaded document,Sanjeev Thakur,30-Apr-2019 04:15 PM,finance_40409.pdf,BOQ Comparative Chart,Technical,as per uploaded document,Sanjeev Thakur,26-Apr-2019 05:56 PM,technical_40409.pdf,1.0,118872.0,Hindustan Ref. Works,17-Mar-2019 09:32 PM,Rejected-AOC,bidder was L2,25-Jun-2019 12:54 PM,10-Jun-2019,"INR 986,625",60.0,Sanjeev Thakur,25-Jun-2019 12:54 PM,28237_1.pdf (300.00 KB),"work awarded to the lowest bidder vide this office letter no. 1275-80, dated 10.06.2019",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Atul Nag JDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,30-Apr-2019 04:30 PM,finsummary_40409.pdf (71.42 KB),Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,26-Apr-2019 06:00 PM,29-Apr-2019 11:00 AM,techsummary_40409.pdf (141.81 KB),PWD,2019_PWD_28237_1,"Elect. Division, HPPWD Palampur","Providing Air-conditioning system in Lecture Theatre, Examination Hall and Anatomy block Dr. RPGMC Kangra at Tanda (SH- Providing Cassette type Air-conditioning system in Examination Hall therein)",AOC,07-Mar-2019 10:00 AM,23-Mar-2019 11:30 AM,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,NA ,NA ,07-Mar-2019 10:00 AM,22-Mar-2019 05:00 PM,29-Apr-2019 11:00 AM,"19,800",No,fixed,,Executive Engineer,Elect. Div. HPPWD Palampur,350.0,Executive Engineer,Elect. Div. HPPWD Palampur,No,1.0,Fee/PreQual/Technical,.pdf,Bank Draft towards the cost of bid documents,PWD,"Elect. Division, HPPWD Palampur",2019_PWD_28237_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Providing Air-conditioning system in Lecture Theatre, Examination Hall and Anatomy block Dr. RPGMC Kangra at Tanda (SH- Providing Cassette type Air-conditioning system in Examination Hall therein)","Providing Air-conditioning system in Lecture Theatre, Examination Hall and Anatomy block Dr. RPGMC Kangra at Tanda (SH- Providing Cassette type Air-conditioning system in Examination Hall therein)",Please refer Tender documents. ,NA ,"9,86,625",Electrical Works,NA ,Tender,120.0,60.0,Tanda at Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,DD - Demand Draft,1.0,CORRIGENDUM,Financial Bid,,Executive Engineer,Electrical Division HPPWD Palampur,AOC
,,,,,,,,,,,,,,,,2.0,118778.0,REVOLUTION,16-Mar-2019 04:47 PM,Accepted-AOC,bidder was lowest (L1),25-Jun-2019 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income Tax Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Principal Manufacturer/OEM/Authorized Franchisee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document (SBD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8) on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
