Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,15622-24 dated 11.02.2019,2019_PWD_27617_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,EE Rampur,EE B and R Division HPPWD Rampur,"2,000",EE Rampur,Rampur,Yes,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,C.O Formation cutting 5.7 mtr. Width from Chebri to Nagalni road Km. 0.000 to 2.500 (SH Formation cutting Km. 0.000 to 2.500).,C.O Formation cutting 5.7 mtr. Width from Chebri to Nagalni road Km. 0.000 to 2.500 (SH Formation cutting Km. 0.000 to 2.500).,Please refer Tender documents. ,NA ,"59,61,531",Civil Works - Roads,NA ,Tender,120.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,"92,200",Yes,fixed,,EE Rampur,Rampur,25-Feb-2019 11:00 AM,08-Mar-2019 11:00 AM,25-Feb-2019 11:00 AM,08-Mar-2019 09:00 AM,25-Feb-2019 11:00 AM ,08-Mar-2019 09:00 AM ,25-Feb-2019 11:00 AM,08-Mar-2019 09:00 AM,08-Mar-2019 03:00 PM,AOC,Finance,Proceeding,Sandeep Sobti,08-Jun-2019 11:14 AM,finance_39351.pdf,BOQ Comparative Chart,1.0,117629.0,Pankaj Dhangal,INR,"4,911,375",1.0,117561.0,HAKEEM CHAND CONTRCATOR,07-Mar-2019 03:26 PM,Rejected-AOC,third lowest,08-Jun-2019 11:18 AM,Technical,proceeding,Sandeep Sobti,08-Mar-2019 02:36 PM,technical_39351.pdf,PWD,2019_PWD_27617_1,15622-24 dated 11.02.2019,C.O Formation cutting 5.7 mtr. Width from Chebri to Nagalni road Km. 0.000 to 2.500 (SH Formation cutting Km. 0.000 to 2.500).,Er.S.K.SobtiEE,Internal,Supdt. DAO,Sandeep Sobti,08-Mar-2019 02:50 PM,08-Mar-2019 03:00 PM,techsummary_39351.pdf (293.24 KB),Er. S.K. Sobti,Internal,DAO Supdt.,Sandeep Sobti,08-Jun-2019 11:16 AM,finsummary_39351.pdf (252.39 KB),08-Jun-2019,"INR 5,961,531",180.0,Sandeep Sobti,08-Jun-2019 11:18 AM,chebri.pdf (471.00 KB),Award letter,AOC
,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,117401.0,Kewal Ram Bhaluni,06-Mar-2019 05:37 PM,Rejected-AOC,second lowest,08-Jun-2019 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,117629.0,Pankaj Dhangal,07-Mar-2019 06:14 PM,Accepted-AOC,first lowest,08-Jun-2019 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
