Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
12-Feb-2019 03:00 PM,23-Feb-2019 11:30 AM,12-Feb-2019 03:00 PM,23-Feb-2019 11:00 AM,NA ,NA ,12-Feb-2019 03:00 PM,23-Feb-2019 11:00 AM,25-Feb-2019 05:50 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender,EE NALAGARH,HPPWD NALAGARH,"17,000",No,fixed,,EE NALAGARH,NALAGARH,500.0,EE NALAGARH,NALAGARH,No,Construction of Tikkri Bohri Amb da haar,SH Providing and laying G-II and Interlock tile 1/00 to 1/100 and 1/200 to 1/320 and 2/300 to 2/340,Please refer Tender documents. ,NA ,"8,45,236",Civil Works - Roads,NA ,Tender,120.0,30.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,PWD,21669-75 DT 08.2.19,2019_PWD_27186_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,114655.0,GHAN SHYAM,22-Feb-2019 03:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Feb-2019 05:45 PM,Technical,sum,Sanjiv Kumar Agnihotri,25-Feb-2019 05:45 PM,technical_38704.pdf,EE,Internal,EEAEADOHDMsup,Sanjiv Kumar Agnihotri,25-Feb-2019 05:46 PM,25-Feb-2019 05:50 PM,techsummary_38704.pdf (194.55 KB),PWD,2019_PWD_27186_7,21669-75 DT 08.2.19,Construction of Tikkri Bohri Amb da haar,AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,114611.0,ROSHAN LAL,22-Feb-2019 02:30 PM,Rejected-AOC,y,14-Jun-2019 01:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,114372.0,Satish,21-Feb-2019 05:03 PM,Accepted-AOC,y,14-Jun-2019 01:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,114782.0,shubham govt.contractor,23-Feb-2019 09:56 AM,Rejected-AOC,y,14-Jun-2019 01:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
