Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,500",EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Yes,PWD,MDI-PANARSA TO SOJHA,2019_PWD_26649_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"51,800",Yes,fixed,,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,1.0,DD - Demand Draft,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,04-Feb-2019 05:00 PM,18-Feb-2019 11:30 AM,04-Feb-2019 05:00 PM,18-Feb-2019 10:30 AM,NA ,NA ,04-Feb-2019 05:00 PM,18-Feb-2019 10:30 AM,26-Feb-2019 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",- Periodic maintenance of Panarsa to Sojha Rahri road (HP0804VR0092) (Other than PMGSY road) under Annual maintenance Plan for the year 2019-20.,Providing and laying 25mm thick bituminous concrete including profile correction in Km. 0/0 to 1/500.),Please refer Tender documents. ,NA ,"29,52,754",Civil Works,NA ,Tender,120.0,31.0,EE MANDI DIVISION NO-I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-I HPPWD MANDI,No ,No,AOC,Finance,Bid opening Summary,Pradeep Singh,20-May-2019 10:07 AM,finance_37851.pdf,BOQ Comparative Chart,1.0,113017.0,Ashadeep Construction Pvt Ltd,INR,"3,737,423",1.0,113214.0,Akshay Singh,16-Feb-2019 05:25 PM,Rejected-Technical,NON Responsive,26-Feb-2019 12:19 PM,Technical,Summary,Dharminder Kumar Verma,26-Feb-2019 12:04 PM,technical_37851.pdf,ER JITENDER KUMAR,Internal,,Jitender Kumar,26-Feb-2019 12:19 PM,26-Feb-2019 01:00 PM,techsummary_37851.pdf (405.36 KB),PWD,2019_PWD_26649_1,MDI-PANARSA TO SOJHA,- Periodic maintenance of Panarsa to Sojha Rahri road (HP0804VR0092) (Other than PMGSY road) under Annual maintenance Plan for the year 2019-20.,24-Jun-2019,"INR 3,737,423",31.0,Pradeep Singh,24-Jun-2019 09:35 AM,26649.pdf (783.00 KB),Er. Jitender Kumar Gupta,Internal,,Pradeep Singh,20-May-2019 10:20 AM,finsummary_37851.pdf (162.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,113017.0,Ashadeep Construction Pvt Ltd,15-Feb-2019 04:11 PM,Accepted-AOC,L1,24-Jun-2019 09:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
