EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"1,01,650",Yes,fixed,,EE Kasauli,Kasauli,PWD,No/PW/ksli/CB/NIT 14591 96 dated 11/2/19,2019_PWD_27243_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,13-Feb-2019 04:00 PM,20-Feb-2019 11:00 AM,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,NA ,NA ,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,20-Feb-2019 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AMP for the year 2019-20 for Gamberpul Mamligh road,AMP for Gamberpub Mamligh road Delgi Bharti road link road 220KV to village Bharol anji SH P/L Renewal coat by providing Bitumenous Concrete in km 1/0 to 3/0 0/0 to 3/500 respectively,Please refer Tender documents. ,NA ,"69,14,176",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173206.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,DD - Demand Draft,"2,000",EE Kasauli,Kasauli,Yes,EE Kasauli,EE HPPWD Kasauli Division,AOC,Finance,Financial Opening Summary,Ravi Bhatti,20-Feb-2019 03:10 PM,finance_38797.pdf,BOQ Comparative Chart,1.0,113548.0,Asphalt Carpet Construction Company,INR,"8,241,416",1.0,113548.0,Asphalt Carpet Construction Company,19-Feb-2019 12:33 PM,Accepted-AOC,lowest tender,28-Jun-2019 04:48 PM,Technical,Bid Opening Summary,Ravi Bhatti,20-Feb-2019 11:34 AM,technical_38797.pdf,PWD,2019_PWD_27243_1,No/PW/ksli/CB/NIT 14591 96 dated 11/2/19,AMP for the year 2019-20 for Gamberpul Mamligh road,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Ved Prakash sharma Supdt Gr-II Sh Hemender Sharma HDM,Ravi Bhatti,20-Feb-2019 11:42 AM,20-Feb-2019 12:00 PM,techsummary_38797.pdf (62.64 KB),Er Ravi Bhatti,Internal,Sh paramjit Singh Grover DAO Sh Ved Prakash Sharma Supdt Gr-II Sh Hemender Sharma HDM,Ravi Bhatti,20-Feb-2019 03:12 PM,finsummary_38797.pdf (56.48 KB),28-Jun-2019,"INR 6,914,176",60.0,Satish Kumar,28-Jun-2019 04:48 PM,3.pdf (245.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC,,,,,,,,,,,,2.0,113582.0,Ravinder Kumar Gupta,19-Feb-2019 02:31 PM,Rejected-AOC,not lowest,28-Jun-2019 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
