Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Financial Bid of the said work open on 2.3.2019 successfully.,Sanjiv Kumar,26-Apr-2019 11:00 AM,finance_38790.pdf,BOQ Comparative Chart,1.0,115402.0,G.P.ACHARYA,INR,"4,486,635",Technical,Three bidders participated in this work and two bidders found responsive. Hence tender recommended by committee to open the financial bid,Sanjiv Kumar,01-Mar-2019 05:29 PM,technical_38790.pdf,1.0,115402.0,G.P.ACHARYA,25-Feb-2019 10:26 PM,Accepted-AOC,Lower Side,12-Jun-2019 01:36 PM,Er SK Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,26-Apr-2019 11:02 AM,finsummary_38790.pdf (178.23 KB),12-Jun-2019,"INR 3,523,723",60.0,Sanjiv Kumar,12-Jun-2019 01:36 PM,Dadh3651.pdf (405.00 KB),PWD,2019_PWD_27245_1,PWD-BD-NIT-2018-19-16570-620,Periodic Maintenance Dharamshala Dadh Palampur Holta Chadhiar Sandhol road Km 0/0 to 90/0 MDR-78) ( MDR AMP 2019-20),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,01-Mar-2019 05:30 PM,02-Mar-2019 11:00 AM,techsummary_38790.pdf (304.02 KB),AOC,EE Baijnath Division,EE Baijnath Division,1.0,DD - Demand Draft,13-Feb-2019 04:00 PM,26-Feb-2019 11:00 AM,13-Feb-2019 04:00 PM,26-Feb-2019 10:30 AM,NA ,NA ,13-Feb-2019 04:00 PM,26-Feb-2019 10:30 AM,02-Mar-2019 11:00 AM,PWD,PWD-BD-NIT-2018-19-16570-620,2019_PWD_27245_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic Maintenance Dharamshala Dadh Palampur Holta Chadhiar Sandhol road Km 0/0 to 90/0 MDR-78) ( MDR AMP 2019-20),"Providing and Laying Tack coat, 30mm thick bituminous concrete with Built up spray grout single layer in Km 36/0 to 37/0, 42/0 to 43/0 and 50/0 to 51/0)",Please refer Tender documents. ,NA ,"35,23,723",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,"1,500",EE Baijnath,Baijnath,No,"52,900",No,fixed,,EE Baijnath,Baijnath,AOC
,,,,,,,,,,,,,,,,2.0,113266.0,Kulvinder,24-Feb-2019 03:58 PM,Rejected-Finance,Higher Side,26-Apr-2019 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,115424.0,P. L. SHARMA,25-Feb-2019 10:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done as indicated in SBD.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,,,,,AOC
