Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
28-Jun-2019,"INR 2,468,875",60.0,Satish Kumar,28-Jun-2019 03:11 PM,2.pdf (253.00 KB),AOC,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Ved Prakash Supdt Gr-II Sh Heminder Sharma HDM,Ravi Bhatti,20-Feb-2019 01:06 PM,finsummary_38799.pdf (55.76 KB),Er Ravi Bhatti,Internal,Sh paramjit Singh Grover DAO Sh Ved Prakash Sharma Supddt Gr-II Sh Heminder Sharma HDM,Ravi Bhatti,20-Feb-2019 12:28 PM,20-Feb-2019 12:30 PM,techsummary_38799.pdf (62.14 KB),PWD,2019_PWD_27256_1,No/PW/ksli/Cb/NIT/19-20 14591 96 dt 11/2/19,AMP for the year 2019-20 for Sultanpur mari ka Ghat road,Technical,Bid Opening Summary,Ravi Bhatti,20-Feb-2019 12:24 PM,technical_38799.pdf,1.0,113552.0,Asphalt Carpet Construction Company,19-Feb-2019 12:53 PM,Accepted-AOC,Lowest Tender,28-Jun-2019 03:11 PM,Finance,Financial Opening Summary,Ravi Bhatti,20-Feb-2019 01:03 PM,finance_38799.pdf,BOQ Comparative Chart,1.0,113552.0,Asphalt Carpet Construction Company,INR,"2,942,799",AOC,1.0,DD - Demand Draft,EE Kasauli,EE HPPWD Kasauli,PWD,No/PW/ksli/Cb/NIT/19-20 14591 96 dt 11/2/19,2019_PWD_27256_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,13-Feb-2019 04:00 PM,20-Feb-2019 10:00 AM,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,NA ,NA ,13-Feb-2019 04:30 PM,20-Feb-2019 10:00 AM,20-Feb-2019 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"45,500",Yes,fixed,,EE Kasauli,Kasauli,500.0,EE Kasauli,Kasauli,Yes,AMP for the year 2019-20 for Sultanpur mari ka Ghat road,AMP for the year 2019-20 for Sultanpur Mari ka Ghat SH P/L Renewal coat by providing bitumenus concrete in km 2/0 to 5/0,Please refer Tender documents. ,NA ,"24,68,875",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113599.0,Ravinder Kumar Gupta,19-Feb-2019 03:02 PM,Rejected-AOC,not lowest,28-Jun-2019 03:11 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
