Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Construction of Kufri Nihon road Km 0/0 to 5/500 under SCSP,Construction of 6.00 mtr. Span R.C.C. Slab culvert at 2/915,Please refer Tender documents. ,NA ,"12,58,635",Civil Works,NA ,Tender,120.0,91.0,EE MANDI DIVISION NO-I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-I HPPWD MANDI,No ,No,07-Feb-2019 05:00 PM,22-Feb-2019 11:30 AM,07-Feb-2019 05:00 PM,22-Feb-2019 10:30 AM,NA ,NA ,07-Feb-2019 05:00 PM,22-Feb-2019 10:30 AM,05-Mar-2019 03:00 PM,1.0,DD - Demand Draft,500.0,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Yes,"25,200",Yes,fixed,,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,PWD,MDI-KUFRI NIHON Road 2/915,2019_PWD_26833_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,AOC,PWD,2019_PWD_26833_1,MDI-KUFRI NIHON Road 2/915,Construction of Kufri Nihon road Km 0/0 to 5/500 under SCSP,ER JITENDER KUMAR,Internal,,Pradeep Singh,05-Mar-2019 02:57 PM,05-Mar-2019 03:00 PM,techsummary_38182.pdf (197.11 KB),Er. Jitender Kumar Gupta,Internal,,Dharminder Kumar Verma,28-May-2019 12:18 PM,finsummary_38182.pdf (91.24 KB),24-Jun-2019,"INR 1,698,756",91.0,Pradeep Singh,24-Jun-2019 09:37 AM,26833.pdf (683.00 KB),Finance,Bid opening Summary,Dharminder Kumar Verma,28-May-2019 12:17 PM,finance_38182.pdf,BOQ Comparative Chart,1.0,113884.0,proprietor,INR,"1,698,756",1.0,113884.0,proprietor,20-Feb-2019 04:11 PM,Accepted-AOC,L1,24-Jun-2019 09:37 AM,Technical,Summary,Dharminder Kumar Verma,26-Feb-2019 12:03 PM,technical_38182.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114406.0,SAMSHER SINGH,22-Feb-2019 09:32 AM,Rejected-Technical,Non Responsive,05-Mar-2019 02:57 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114041.0,SOM NATH,20-Feb-2019 08:13 PM,Rejected-Finance,L2,28-May-2019 12:18 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,114389.0,Suresh Kumar,21-Feb-2019 11:35 PM,Rejected-Technical,NON Responsive,05-Mar-2019 02:57 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
