Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2018_HPIPH_25647_1,14799-14898,"Up gradation, Designing, Constructing, Site development, Hydraulic testing, Commissioning and giving satisfactorily trials of 2.50 MLD STP at Bhoothnath and 2.57 MLD at Lanka Baker STP based on MBBR technology consisting of Pumping Station, Primary,",1.0,107602.0,ANAND ASSOCIATES,INR,"186,000,000",COMMITTEE,Internal,,Keshav Ram Kulvi,19-Jun-2019 12:37 PM,finsummary_35902.pdf (1153.83 KB),Technical,Summary,Keshav Ram Kulvi,04-Feb-2019 04:37 PM,technical_35902.pdf,Finance,SUMMARY,Keshav Ram Kulvi,19-Jun-2019 12:26 PM,finance_35902.pdf,BOQ Comparative Chart,19-Jun-2019,"INR 186,000,000",630.0,Keshav Ram Kulvi,19-Jun-2019 12:43 PM,ANNAND.pdf (533.00 KB),1.0,107602.0,ANAND ASSOCIATES,14-Jan-2019 06:54 PM,Accepted-AOC,L1,19-Jun-2019 12:42 PM,CE,Internal,,Keshav Ram Kulvi,04-Feb-2019 04:43 PM,05-Feb-2019 11:00 AM,techsummary_35902.pdf (10920.10 KB),AOC,"Up gradation, Designing, Constructing, Site development, Hydraulic testing, Commissioning and giving satisfactorily trials of 2.50 MLD STP at Bhoothnath and 2.57 MLD at Lanka Baker STP based on MBBR technology consisting of Pumping Station, Primary,","Up gradation, Designing, Constructing, Site development, Hydraulic testing, Commissioning and giving satisfactorily trials of 2.50 MLD STP at Bhoothnath and 2.57 MLD at Lanka Baker STP based on MBBR technology consisting of Pumping Station, Primary,",as per NIT ,NA ,"12,93,00,000",Civil Works,NA ,Tender,180.0,630.0,Kullu,175101.0,NA ,NA ,NA ,IPH Division No I Kullu,No ,No,"12,93,000",Yes,fixed,,Executive Engineer,IPH Division No I Kullu,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",14799-14898,2018_HPIPH_25647_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Offline,No,No,No,29-Dec-2018 09:00 AM,16-Jan-2019 11:30 AM,30-Dec-2018 10:00 AM,15-Jan-2019 05:00 PM,NA ,NA ,30-Dec-2018 10:00 AM,15-Jan-2019 05:00 PM,05-Feb-2019 11:00 AM,1.0,DD - Demand Draft,"2,500",Executive Engineer,IPH Division No I Kullu,No,Executive Engineer,IPH Division No I Kullu,1.0,Fee,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107561.0,RCC Infra Ventures Limited,14-Jan-2019 04:15 PM,Rejected-AOC,L2,19-Jun-2019 12:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Cost of tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No, GST , latest Income tax return",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding carefully studying of tender document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover as per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of similar work as per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of operation and maintenance,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MoU for technology provider as per NIT,AOC
