Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
A.M.P for the year 2019-20 on Mandi Rewalsar Kalkhar road DRRP No. HP0810MDR026,Providing and laying bituminous concrete in Km. 15/0 to 19/0,Please refer Tender documents. ,NA ,"42,46,640",Civil Works,NA ,Tender,120.0,61.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,26-Apr-2019 05:30 PM,13-May-2019 11:30 AM,26-Apr-2019 05:30 PM,13-May-2019 11:00 AM,NA ,NA ,26-Apr-2019 05:30 PM,13-May-2019 11:00 AM,15-May-2019 05:25 PM,"71,200",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",1.0,DD - Demand Draft,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,PWD,MDII-MANDI REWALSAR 15/0 TO 19/0,2019_PWD_26240_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,AOC,1.0,120979.0,Chaman lal sharma,10-May-2019 03:18 PM,Accepted-AOC,L1,24-Jun-2019 04:58 PM,Technical,Summary,Dharminder Kumar Verma,15-May-2019 05:07 PM,technical_41587.pdf,1.0,120979.0,Chaman lal sharma,INR,"5,174,165",Finance,Bid opening Summary,Dharminder Kumar Verma,24-May-2019 02:53 PM,finance_41587.pdf,BOQ Comparative Chart,ER PRADEEP SINGH,Internal,,Dharminder Kumar Verma,15-May-2019 05:22 PM,15-May-2019 05:25 PM,techsummary_41587.pdf (130.12 KB),PWD,2019_PWD_26240_2,MDII-MANDI REWALSAR 15/0 TO 19/0,A.M.P for the year 2019-20 on Mandi Rewalsar Kalkhar road DRRP No. HP0810MDR026,24-Jun-2019,"INR 5,174,165",61.0,Pradeep Singh,24-Jun-2019 04:58 PM,2019_PWD_26240_2.pdf (275.00 KB),ER PRADEEP SINGH,Internal,,Dharminder Kumar Verma,24-May-2019 03:09 PM,finsummary_41587.pdf (86.49 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,AOC,2.0,120987.0,M/S NAWAL KISHORE AND SONS,11-May-2019 01:11 PM,Rejected-Finance,L2,24-May-2019 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
