Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
PWD,2019_PWD_26172_1,No/PW/Ksli/CB/NIT/18-19 13215-24 dt 15/1/19,Special Repair to Jatrog Kamli Dangri Ki Ser road in km 0/0 to 10/00,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Ved Prakash Supdt Gr-II Sh Hemender Sharma HDM,Ravi Bhatti,13-Feb-2019 04:53 PM,13-Feb-2019 05:00 PM,techsummary_36874.pdf (62.05 KB),Technical,Bid opening summary,Ravi Bhatti,13-Feb-2019 04:43 PM,technical_36874.pdf,1.0,111500.0,ASHWANI KUMAR,08-Feb-2019 01:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Feb-2019 04:43 PM,AOC,23-Jan-2019 10:30 AM,11-Feb-2019 11:00 AM,23-Jan-2019 11:00 AM,08-Feb-2019 04:00 PM,NA ,NA ,23-Jan-2019 11:00 AM,08-Feb-2019 04:00 PM,13-Feb-2019 05:00 PM,1.0,DD - Demand Draft,Special Repair to Jatrog Kamli Dangri Ki Ser road in km 0/0 to 10/00,Special repair to Jatorg kamli Dangri ki ser in km 0/0 to 10/00 SH Metaling and tarring of road in km 0/0 to 1/00,Please refer Tender documents. ,NA ,"12,12,643",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,EE Office Kasauli,No ,No,EE HPPWD Kasauli,EE HPPWD Kasauli Division,PWD,No/PW/Ksli/CB/NIT/18-19 13215-24 dt 15/1/19,2019_PWD_26172_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),500.0,EE HPPWD Kasauli,Kasauli,Yes,"24,300",Yes,fixed,,EE HPPWD Kasauli,Kasauli,AOC
,,,,,,,,,,,,,,,,2.0,111502.0,Mool Chand,08-Feb-2019 02:35 PM,Rejected-AOC,not lowest,28-Jun-2019 04:54 PM,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,111495.0,Nishant Rattan,08-Feb-2019 12:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Feb-2019 04:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,111491.0,P L CONSTT,08-Feb-2019 12:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Feb-2019 04:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,111465.0,YOG RAJ SHARMA,07-Feb-2019 06:12 PM,Accepted-AOC,lowest tender,28-Jun-2019 04:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of GST,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,AOC
