S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,122620.0,M/s GUMAN SINGH,INR,"119,130",Finance,Financial Summary,Vijay Kumar Aggarwal,29-Jun-2019 03:31 PM,finance_42229.pdf,BOQ Comparative Chart,Technical,Opening Summary,Vijay Kumar Aggarwal,29-Jun-2019 11:31 AM,technical_42229.pdf,1.0,123073.0,Anil Sharma,26-Jun-2019 08:37 PM,Rejected-Technical,Non responsive,29-Jun-2019 11:49 AM,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakaun,Vijay Kumar Aggarwal,29-Jun-2019 03:35 PM,finsummary_42229.pdf (102.34 KB),29-Jun-2019,"INR 119,130",90.0,Vijay Kumar Aggarwal,29-Jun-2019 04:47 PM,12to32.pdf (669.00 KB),award,PWD,2019_PWD_29155_1,NH Nahan Tender NIT No. 940-60 dated 28.05.2019,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 12/0 to 32/0 for ensuing monsoon season in 20,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,29-Jun-2019 11:49 AM,29-Jun-2019 12:30 PM,techsummary_42229.pdf (1862.10 KB),AOC,350.0,EE NH Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),1.0,All tenders due for bid submission closing on 26-June-2018 Between 09.00 Hrs and 18.55 Hrs IST are extended by 24 hours.,Admin Corrigendum Date Extend,,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 12/0 to 32/0 for ensuing monsoon season in 20,Ordinary repair to Paonta Rajban Sataun Shillai Hatkoti road on NH 72 B (New No 707) Km 0/0 to 106/120 SH Hiring of Excavator cum loader and Tractor with Hydraulic system Trolly for Removal of slips in Km 12/0 to 32/0 for ensuing monsoon season in 20,Refer tender document ,NA ,"1,40,130",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,PWD,NH Nahan Tender NIT No. 940-60 dated 28.05.2019,2019_PWD_29155_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,"3,000",No,fixed,,EE NH Division Nahan,Nahan,07-Jun-2019 04:00 PM,28-Jun-2019 11:00 AM,07-Jun-2019 04:30 PM,27-Jun-2019 11:30 AM,NA ,NA ,07-Jun-2019 04:30 PM,27-Jun-2019 11:30 AM,29-Jun-2019 12:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,123009.0,hement,26-Jun-2019 11:09 AM,Rejected-AOC,4th lowest,29-Jun-2019 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,122620.0,M/s GUMAN SINGH,23-Jun-2019 06:04 PM,Accepted-AOC,1st lowest,29-Jun-2019 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,122981.0,MUKESH KUMAR,25-Jun-2019 08:07 PM,Rejected-AOC,3rd lowest,29-Jun-2019 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Registration(Refer General Rule ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,122979.0,NITIN SHARMA,25-Jun-2019 07:30 PM,Rejected-Technical,Non responsive,29-Jun-2019 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work In hand certificate(General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,122983.0,ROHIT CHOWDKARY,25-Jun-2019 11:26 PM,Rejected-AOC,2nd lowest,29-Jun-2019 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,122977.0,SUDESH KUMAR,25-Jun-2019 06:58 PM,Rejected-Technical,Non responsive,29-Jun-2019 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No.8(Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
