Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_16790_1,IPH-DN-CB-TA-Tender/2017-18- 2843-2940 dt 24-05-17,Providing LWSS to various PC habitations under GP Burmapapari in Tehsil Nahan Distt. Sirmour HP,1.0,62728.0,The Nandini Enterprises and Sons,INR,"1,540,000",Er. Rajeev Mahajan EE,Internal,HDM AEN TA EE,Mandeep Gupta,14-Jun-2019 01:28 PM,finsummary_22824.pdf (1126.93 KB),14-Jun-2019,"INR 975,000",90.0,Mandeep Gupta,14-Jun-2019 01:31 PM,AOC.pdf (1127.00 KB),Award,Technical,Technical Bid Opening Summary,Rajeev Kumar Mahajan,11-Jul-2017 03:01 PM,technical_22824.pdf,Finance,Finaancial Bid Opening Summary,Rajeev Kumar Mahajan,11-Jul-2017 03:39 PM,finance_22824.pdf,BOQ Comparative Chart,1.0,62749.0,Chatter Singh,27-Jun-2017 10:34 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jul-2017 03:01 PM,Er. Rajeev Kumar Exesutive Engineer,Internal,Supdt HDM DAO Tender Asstt,Rajeev Kumar Mahajan,11-Jul-2017 03:08 PM,11-Jul-2017 03:15 PM,techsummary_22824.pdf (58.58 KB),AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,1.0,Corrigendum,Date,,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 2843-2940 dt 24-05-17,2017_HPIPH_16790_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,08-Jun-2017 04:00 PM,27-Jun-2017 11:30 AM,08-Jun-2017 04:00 PM,27-Jun-2017 11:00 AM,NA ,NA ,08-Jun-2017 04:00 PM,27-Jun-2017 11:00 AM,11-Jul-2017 03:15 PM,Providing LWSS to various PC habitations under GP Burmapapari in Tehsil Nahan Distt. Sirmour HP,C/O Over Head Storage Reservior (OHSR) 100000 ltrs capacity 12 mtrs staging at village Jangla Bhood,Please refer Tender documents. ,NA ,"9,75,000",Civil Works,OHSR ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,"19,500",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,250.0,Executive Engineer IPH Division Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,62685.0,M/S Sharma Enterpirses,27-Jun-2017 07:28 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jul-2017 03:01 PM,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,62728.0,The Nandini Enterprises and Sons,27-Jun-2017 10:39 AM,Accepted-AOC,AOC,14-Jun-2019 01:31 PM,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,.pdf,Registration in HPIPH Deptt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,62702.0,Vats Associates,27-Jun-2017 07:50 AM,Rejected-Finance,Rejected,14-Jun-2019 01:28 PM,,,,,,,,AOC,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Sale Tax /TIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,UNdertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Experience of same kind of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
