Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
Technical,TEchnical Bid Opening Summary,Rajeev Kumar Mahajan,18-Jul-2017 10:33 AM,technical_23054.pdf,Finance,Financial Bid Opening Summary,Rajeev Kumar Mahajan,18-Jul-2017 01:27 PM,finance_23054.pdf,BOQ Comparative Chart,14-Jun-2019,"INR 1,499,974",1095.0,Mandeep Gupta,14-Jun-2019 02:59 PM,AOC.pdf (1441.00 KB),Award,1.0,63378.0,Basti Ram,09-Jul-2017 01:12 PM,Rejected-Finance,Rejected,14-Jun-2019 02:51 PM,Er. Rajeev Kumar Executive Engineer,Internal,Supdt HDM DAO Tender Asstt,Rajeev Kumar Mahajan,18-Jul-2017 10:40 AM,18-Jul-2017 10:45 AM,techsummary_23054.pdf (58.68 KB),"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",2017_HPIPH_16972_1,IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan section Burmapapari in Tehsil Nahan Distt Sirmour HP,1.0,63055.0,Sandeep Rathaur-M/s. Sandeep Rathaur,INR,"1,626,185",Er,Internal,HDM AEN TA EE,Mandeep Gupta,14-Jun-2019 02:51 PM,finsummary_23054.pdf (1440.63 KB),AOC,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,23-Jun-2017 05:00 PM,11-Jul-2017 11:30 AM,23-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,NA ,NA ,23-Jun-2017 05:00 PM,11-Jul-2017 11:00 AM,18-Jul-2017 10:45 AM,"30,000",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,Annual Repair and maintenance of pumping machinery alongwith allied accessories upto 5 mtrs from the outer wall of the scheme under IPH Sub division Nahan section Burmapapari in Tehsil Nahan Distt Sirmour HP,above,Please refer Tender documents. ,NA ,"14,99,974",Pumps/Motors,Annual Maintenanace ,Tender,120.0,1095.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer IPH Division Nahan,No ,No,400.0,Executive Engineer IPH Division Nahan,NAhan,No,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Jawali,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2017-18- 4179-4280 Dt 17-6-17,2017_HPIPH_16972_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,2.0,63055.0,Sandeep Rathaur-M/s. Sandeep Rathaur,09-Jul-2017 06:57 PM,Accepted-AOC,AOC,14-Jun-2019 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,3.0,63450.0,The Nandini Enterprises and Sons,11-Jul-2017 08:32 AM,Rejected-Finance,Rejected,14-Jun-2019 02:51 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH deptt. in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,4.0,63442.0,Vijay Pal Singh,10-Jul-2017 07:54 PM,Rejected-Finance,Rejected,14-Jun-2019 02:51 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,PAN no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax iTIN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work or certificate of machenical workshop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour HP Rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
